,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv,,,
adaptagrams.csv,1,0,0.33,0,0,0,0,0,0,0,0.73,0.12,0.01,0,0.93,1,1,0.05,0,0.29,0.01,0,0,0,0,0.67,1,0,0,0,0,1,0,0,0.97,0,0,0,0,0.17,0.82,0,0,1,0,0.64,0.95,0,1,0,0.68,0.85,0,0.99,0.45,0.81,0,0,0,,0,0,0.65,0.69,0,0.21,0,0.21,0,0,0.3,0.04,0,0.57,0.55,0.03,0,0.13,0.98,0.31,19,55,0.345454545
agilitybook.csv,1,1,0.75,0.18,0,0,0,1,0.37,0.13,1,1,0.69,0,0.98,0.8,1,0.65,0.21,1,1,0,0,0,0.05,0.98,0.98,0.47,0.18,0,1,0.97,0,0.15,0.99,1,0,0.9,0.94,0.93,1,,0.78,1,0.46,1,1,1,1,0.95,1,1,0.96,1,0.97,1,0,0.93,0.18,1,0.7,0.12,0.9,1,0,1,0.73,1,0,0,0.96,0.96,0,0.93,1,0.95,0,1,0.99,1,51,26,1.961538462
amanda.csv,1,1,0.83,0.88,0,0.36,0.8,0.93,0.89,0.79,1,1,0.79,0.4,1,1,1,0.88,0.74,0.94,0.96,0,0.35,0,0.79,1,1,0.8,1,0.8,0.86,1,0.54,0.83,1,1,0.46,1,0.98,1,1,0.92,0.91,1,0.83,1,1,0.98,1,0.97,1,1,1,1,1,1,0,0.96,0.73,1,0.9,0.99,,1,0.67,1,0.73,1,0,,1,0.96,0.1,1,1,0.98,0,0.94,0.99,0.96,66,11,6
atunes.csv,1,1,1,0,0,0,0,0.68,0,0,1,0.75,0.47,0,1,1,1,0.61,0,0.8,0.86,0,0,0,0,1,1,0,,0,0.93,1,0,0,1,1,0,0.47,0.54,0.83,1,0,0.5,1,0,1,1,0.56,1,0.05,1,1,0.76,1,0.95,1,0,0.93,0,1,0.2,0,0.9,1,0,0.58,0.15,1,0,0,0.77,0.44,0,0.95,0.98,0.86,0,0.94,1,0.96,41,37,1.108108108
avifile.csv,0,0,0,0.1,1,0.95,0.73,0,0,0.94,0,0.03,0,1,0,0,0,0.01,0.26,0,0,1,1,1,0.51,0,0,0.03,0,,0,0,0.9,0.17,0,0,1,0,0.01,0,0,0.76,0.06,0,0.07,0,0,0,0,0,0,0,0.02,0,0,0,1,0,0.05,0,0,0,0,0,1,0,0.12,0,1,0.9,0,0,1,0,0,0,1,0,0,0,17,58,0.293103448
awemud.csv,1,1,1,1,1,1,1,1,1,1,0.09,0.97,1,1,0.05,0.6,0.65,0.99,1,0.94,0.99,1,1,1,1,0.45,0,1,1,1,0.86,0.64,1,1,0.3,1,1,1,1,1,0,1,1,0.12,1,0.18,0.62,1,0.31,1,0.8,0.65,0.98,0.03,,0.19,1,1,1,0.92,1,1,0.01,0.31,1,0.98,1,0,1,1,0.98,1,1,0.68,0.92,1,1,0.94,0.48,0.42,58,11,5.272727273
baadengine.csv,1,1,1,0.96,0,0.49,0.98,1,0.95,0.85,1,0.98,1,0,1,1,1,0.99,,1,1,0,0.03,0,0.9,1,1,0.99,1,1,1,1,0.74,1,1,1,0.15,0.97,0.99,1,1,0.66,0.97,1,0.96,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,1,0.33,1,0.92,1,0,0.62,1,0.98,0,1,1,1,0,1,1,0.96,64,13,4.923076923
barracudamvc.csv,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.21,1,0,0,0,0,0.06,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.81,0,1,0,1,0,0,0,0,0,0,0.99,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,,0,13,66,0.196969697
benojt.csv,1,1,1,1,0.96,0.95,1,1,1,1,1,1,1,1,1,1,1,0.99,1,0.97,1,0.95,1,0,1,0.98,1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,0.98,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0.98,1,1,1,1,1,0.98,1,1,,1,0,0.97,1,1,76,2,38
crisscross.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0.72,0,0,0.08,0,1,0,0,0,0,0.25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0.04
dynalloy.csv,1,0,0.75,0,0,0,0,0.09,0,0,1,0.53,0.37,0,1,0.8,0.7,0.12,0,0.49,0.41,0,0,0,0,0.98,1,0,0,0,0.43,0.82,0,0,1,1,0,0,0.26,0.66,1,0,0.06,1,0,1,0.95,0.2,1,0,1,1,0.39,1,0.97,1,0,0.11,0,1,0.15,0,0.69,0.94,0,0.77,0,1,0,0,0.14,,0,1,0.88,0.28,0,0.61,1,1,30,42,0.714285714
elmo.csv,0,0,0,0,0,0,0,0,0,0,0.09,0.05,0.03,0,0.02,,0,0.01,0,0.11,0,0,0,0,0,0.07,0.1,0,0,0,0.07,0,0,0,0.02,0,0,0.03,0,0,0,0,0.03,0.12,0,0,0.08,0,0.69,0,0.08,0.35,0,0.07,0.01,0,0,0,0,0,0,0,0.13,0,0,0,0,0.06,0,0,0,0,0,0.07,0.1,0,0,0,0.01,0.04,1,77,0.012987013
empyrean.csv,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0.18,0,0,1,0,0,0.31,0,1,0,0,0.31,0,,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,4,73,0.054794521
encog-java.csv,1,0,0.42,0,0,0,0,,0,0,0.64,0.22,0.01,0,0.79,0.2,0.5,0,0,0.2,0.31,0,0,0,0,0.52,0.57,0,0,0,0.43,0.64,0,0,0.34,1,0,0,0.04,0.24,0.55,0,0,0.92,0,0.27,0.69,0.02,0.69,0,0.6,0.23,0.22,0.67,0.44,0.62,0,0.04,0,0.5,0,0,0.27,0.62,0,0.1,0,0.64,0,0,0.32,0.17,0,0.57,0.68,0.12,0,0.48,0.5,0.65,8,63,0.126984127
flylinkdc.csv,1,1,1,0.8,0,0.52,0.59,1,0.95,0.83,0.82,0.98,0.78,0.3,1,0.8,1,0.84,0.45,1,1,0,,0,0.67,0.98,0.69,0.81,1,0.4,0.93,1,0.54,0.76,1,1,0.36,0.97,0.98,0.93,0.91,0.58,0.88,1,0.66,0.82,0.95,0.9,0.92,0.97,1,1,0.98,0.99,0.92,1,0,0.93,0.77,1,0.92,0.48,0.32,1,0.5,1,0.96,0.97,0,0.62,1,0.96,0,1,1,0.78,0,1,1,1,59,15,3.933333333
forester-atv.csv,1,0,0.5,0.06,0,0,0.68,0.68,0.05,0.53,0.91,0.43,0.34,0,0.69,0.8,0.8,0.09,0.01,0.6,0.99,0,0,0,0,0.6,0.52,0.02,0,0,0.93,0.61,0,0.19,0.5,1,0.03,0.5,0.54,0.69,0.45,0,0.28,0.68,0.33,0.64,0.97,0.73,0.92,0.41,0.76,0.42,0.78,0.78,0.51,0.76,0,0.63,0.27,0.85,0.57,0.01,0.28,0.75,0,0.73,,0.39,0,0.17,0.54,0.54,0,0.86,0.71,0.67,0,0.65,0.74,0.69,27,42,0.642857143
google-collections.csv,1,1,1,0.97,0,0.49,0.85,0.93,0.95,0.59,1,0.98,1,0.45,1,1,1,,1,0.94,0.47,0,0.32,0,1,1,1,0.99,1,1,1,1,0.33,0.98,0.99,1,0.42,0.87,0.97,1,1,0.74,0.94,1,0.96,1,0.97,0.85,1,1,1,1,0.98,1,1,1,0,1,0.95,1,1,1,,1,0.42,1,0.85,1,0.5,0.67,0.98,0.96,0,1,1,1,0,1,0.98,1,63,11,5.727272727
gpsmid.csv,1,1,0.83,0.08,0,0,0,0.61,0.05,0,1,0.63,0.35,0,1,1,0.9,0.42,0,0.51,0.04,0,0,0,0,0.86,1,0,0,0,1,0.91,0,0.02,0.98,1,0,0.23,0.56,0.55,1,0,0.41,1,0.06,1,1,0.41,1,0.33,0.88,0.92,,1,1,1,0,0.96,0.05,0.96,0.57,0,0,0.94,0,0.46,0.46,1,0,0,0.41,0.6,0,0.93,0.99,0.93,0,1,0.88,0.92,33,35,0.942857143
