,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.32,0.0,0.73,0.3,0.2,0.41,0.0,0.33,0.21,0.16,0.17
arsenal-1.csv,0.87,0.63,0.14,0.26,0.05,0.51,0.2,0.77,0.21,0.21,0.83
barracudamvc.csv,0.7,0.93,0.91,0.96,1.0,0.79,0.9,0.78,0.89,0.92,0.48
cascading.csv,0.37,0.7,0.55,0.7,0.56,0.37,0.7,0.35,0.75,0.47,0.59
emisview.csv,0.29,0.26,0.82,0.65,0.22,0.57,0.2,0.46,0.16,0.12,0.34
jitterbit.csv,0.73,1.0,0.86,0.65,0.34,0.72,0.6,0.42,0.37,0.42,0.86
jppf-project.csv,0.62,0.96,0.32,0.43,0.78,0.58,0.6,0.78,0.76,0.39,0.86
mevenide.csv,0.67,0.22,0.0,0.04,0.0,0.33,0.0,0.32,0.15,0.14,0.86
mycila.csv,0.53,0.74,0.14,0.57,0.63,0.23,0.8,0.54,0.76,0.84,0.24
ontopia.csv,0.21,0.56,0.59,0.78,0.61,0.52,0.6,0.76,0.14,0.82,0.17
trackit.csv,0.08,0.0,0.45,0.39,0.59,0.61,0.4,0.11,0.03,0.16,0.17
