,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.58,0.0,0.42,0.9,0.67,0.87,0.86,0.52,0.71,0.87,0.86
arsenal-1.csv,0.34,0.5,0.89,0.8,0.5,0.62,0.71,0.35,0.77,0.68,0.55
barracudamvc.csv,0.43,0.39,0.33,0.31,0.39,0.42,0.4,0.41,0.43,0.36,0.56
cascading.csv,0.53,0.41,0.53,0.37,0.51,0.69,0.59,0.61,0.42,0.44,0.48
emisview.csv,0.69,0.91,0.35,0.54,0.8,0.59,0.58,0.47,0.91,0.92,0.77
jitterbit.csv,0.38,0.37,0.35,0.4,0.6,0.58,0.44,0.51,0.51,0.46,0.51
jppf-project.csv,0.49,0.36,0.61,0.4,0.5,0.45,0.45,0.4,0.5,0.61,0.57
mevenide.csv,0.38,0.57,0.0,0.67,0.0,0.81,0.67,0.6,0.9,0.93,0.7
mycila.csv,0.46,0.42,0.8,0.38,0.51,0.62,0.71,0.55,0.45,0.38,0.63
ontopia.csv,0.76,0.38,0.42,0.34,0.38,0.49,0.41,0.37,0.83,0.41,0.71
trackit.csv,0.91,0.0,0.48,0.64,0.47,0.58,0.5,0.91,0.83,0.92,0.9
