,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,vienna-add-in.csv,mptvseries.csv,sbml.csv,wow-qrsk.csv,mp-rechnungs-und-kundenverwaltung.csv,galaxium.csv,itext.csv,smartgwt.csv,fityk.csv,mecat.csv,kolmafia.csv,pixel-commandos.csv,quantlib.csv
fityk.csv,0.49,0.15,0.07,0.13,0.96,0.69,0.32,0.63,0.43,0.84,0.26,0.33,0.29,0.61,0.13,0.83,0.08,0.6,0.1,0.19
galaxium.csv,0.55,0.21,0.1,0.24,0.9,0.77,0.33,0.74,0.22,0.87,0.37,0.42,0.64,0.79,0.47,0.81,0.05,0.68,0.11,0.29
itext.csv,0.44,0.19,0.07,0.19,0.91,0.72,0.34,0.69,0.48,0.76,0.23,0.32,0.29,0.8,0.24,0.78,0.05,0.63,0.12,0.21
jahshakafx.csv,0.59,0.22,0.09,0.2,0.88,0.81,0.39,0.6,0.55,0.85,0.44,0.37,0.45,0.64,0.31,0.71,0.07,0.75,0.12,0.1
kolmafia.csv,0.41,0.15,0.06,0.13,0.85,0.68,0.29,0.63,0.46,0.71,0.21,0.32,0.34,0.66,0.34,0.68,0.05,0.77,0.06,0.19
mecat.csv,0.5,0.23,0.26,0.33,1.0,0.73,0.75,0.67,0.62,0.92,0.91,0.67,0.0,1.0,0.86,1.0,0.3,1.0,0.25,0.0
mp-rechnungs-und-kundenverwaltung.csv,0.56,0.25,0.13,0.26,0.86,0.75,0.44,0.72,0.4,0.93,0.53,0.43,0.67,0.87,0.53,0.86,0.09,0.78,0.12,0.27
mptvseries.csv,0.51,0.19,0.15,0.17,0.94,0.7,0.5,1.0,0.54,1.0,0.48,0.42,0.59,0.75,0.38,0.75,0.11,1.0,0.27,0.19
novembre.csv,0.62,0.22,0.1,0.19,1.0,0.76,0.48,0.56,1.0,0.68,0.27,0.38,0.29,0.59,0.17,0.8,0.05,0.59,0.12,0.16
ns-3.csv,0.4,0.21,0.07,0.27,0.92,0.76,0.3,0.58,0.25,0.71,0.19,0.38,0.4,0.61,0.68,0.62,0.07,0.66,0.04,0.19
nullc.csv,0.33,0.12,0.06,0.14,1.0,0.76,0.38,0.71,0.58,0.87,0.5,0.26,0.35,0.5,0.23,0.73,0.07,0.58,0.11,0.23
pixel-commandos.csv,0.5,0.16,0.09,0.12,1.0,0.71,0.75,0.4,0.9,0.92,0.34,0.26,0.12,0.0,0.44,0.73,0.06,0.0,0.4,0.0
plee-the-bear.csv,0.54,0.23,0.18,0.12,0.8,0.7,0.31,0.66,0.5,0.68,0.2,0.38,0.34,0.5,0.38,0.7,0.03,0.58,0.07,0.2
quantlib.csv,0.3,0.12,0.06,0.0,0.0,0.65,0.0,0.0,0.38,0.7,0.19,0.29,0.0,0.56,0.19,0.0,0.0,0.55,0.0,0.38
reaper-ecad.csv,0.68,0.27,0.21,0.32,1.0,0.83,0.0,0.69,1.0,1.0,0.75,0.0,0.75,0.0,0.0,1.0,1.0,0.73,1.0,0.0
sbml.csv,0.41,0.2,0.07,0.18,0.95,0.66,0.29,0.69,0.41,0.86,0.2,0.34,0.35,0.58,0.46,0.76,0.04,0.71,0.06,0.27
smartgwt.csv,0.55,0.2,0.11,0.29,0.85,0.79,0.39,0.66,0.41,0.87,0.4,0.31,0.27,0.8,0.55,0.72,0.0,0.53,0.1,0.17
unladen-swallow.csv,0.46,0.23,0.14,0.2,0.9,0.84,0.3,0.62,0.35,0.75,0.25,0.44,0.44,0.72,0.53,0.7,0.06,0.72,0.06,0.26
vienna-add-in.csv,0.29,0.1,0.04,0.12,0.8,0.58,0.11,0.77,0.26,0.67,0.19,0.31,0.36,0.52,0.23,0.63,0.02,0.47,0.02,0.26
wow-qrsk.csv,0.41,0.2,0.1,0.21,1.0,0.84,0.0,0.6,0.61,0.82,0.44,0.4,0.52,0.53,0.7,0.71,0.09,0.63,0.0,0.0
