,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,galaxium.csv,runuomondains.csv,somap.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv
algebsql.csv,0.45,0.66,0.51,0.62,0.46,0.76,0.88,0.23,0.31,0.19,0.19,0.08,0.29,0.2,0.0,0.65
galaxium.csv,0.61,0.53,0.46,0.34,0.48,0.1,0.71,0.18,0.42,0.69,0.27,0.66,0.25,0.61,0.16,0.6
hydrate.csv,0.28,0.24,0.46,0.0,0.4,0.03,0.16,0.21,0.29,0.27,0.22,0.32,0.29,0.24,0.27,0.66
ivef-sdk.csv,0.68,0.66,0.56,0.81,0.36,1.0,0.39,0.09,0.42,0.23,0.0,0.68,0.31,0.45,0.08,0.0
jmri.csv,0.51,0.37,0.63,0.21,0.11,0.71,0.39,0.49,0.42,0.21,0.32,0.46,0.28,0.25,0.17,0.33
jython.csv,0.78,0.69,0.61,0.77,0.37,0.84,0.65,0.62,0.41,0.42,0.23,0.84,0.33,0.28,0.16,0.58
kdenlive.csv,0.77,0.74,0.55,0.56,0.51,0.28,0.22,0.22,0.56,0.5,0.24,0.82,0.33,0.59,0.16,0.77
ninject.csv,0.25,0.42,0.55,0.33,0.25,0.74,0.51,0.16,0.12,0.41,0.21,0.6,0.11,0.59,0.5,0.61
ondex.csv,0.61,0.44,0.56,0.54,0.1,0.0,0.24,0.48,0.47,0.24,0.38,0.38,0.4,0.15,0.0,0.37
opentibia.csv,0.53,0.86,0.45,0.38,0.41,0.03,0.67,0.3,0.0,0.36,0.29,0.4,0.27,0.74,0.27,0.69
runuomondains.csv,0.54,0.46,0.66,0.24,0.21,0.23,0.49,0.45,0.52,0.41,0.52,0.51,0.31,0.26,0.27,0.53
somap.csv,0.76,0.89,0.59,0.78,0.53,0.58,0.65,0.21,0.41,0.47,0.22,0.92,0.28,0.77,0.18,0.78
taverna.csv,0.5,0.56,0.31,0.29,0.65,0.15,0.64,0.13,0.32,0.37,0.42,0.45,0.32,0.74,0.0,0.4
tigermud.csv,0.51,0.74,0.55,0.67,0.52,0.0,0.05,0.07,0.11,0.38,0.17,0.71,0.17,0.71,0.29,0.71
unbvision.csv,0.69,0.56,0.49,0.32,0.32,0.57,0.41,0.67,0.62,0.45,0.27,0.34,0.33,0.31,0.23,0.57
x-ray-mule.csv,0.35,0.47,0.3,0.81,0.51,0.0,0.2,0.17,0.34,0.25,0.0,0.66,0.24,0.66,0.05,0.11
