,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.34,0.01,0.14,0.06,1.0,0.82,0.02,0.06,0.04,0.2,0.3,0.02,0.33
emulemorph.csv,0.5,0.0,0.0,0.0,0.24,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0
gisgraphy.csv,0.36,0.0,0.11,0.08,0.23,0.4,0.02,0.0,0.09,0.23,0.26,0.0,1.0
jaxen.csv,0.25,0.0,0.12,0.18,0.29,1.0,0.0,0.83,0.11,0.12,0.71,0.0,0.4
jvcl.csv,0.0,0.0,1.0,0.0,0.2,1.0,0.0,0.08,0.33,0.0,0.0,0.0,0.33
m-m-m.csv,0.38,0.01,0.1,0.06,0.26,1.0,0.02,0.06,0.01,0.31,0.38,0.01,0.3
motu.csv,0.43,0.06,0.11,0.0,0.62,0.89,0.0,0.05,0.11,1.0,0.37,0.0,0.11
nh3d.csv,0.5,1.0,0.17,0.33,0.5,0.0,0.07,0.21,0.21,0.37,0.92,0.0,0.29
sarasvati.csv,0.6,0.0,0.07,0.9,0.33,0.83,0.0,0.16,0.0,0.5,0.33,0.0,0.5
wgs-assembler.csv,1.0,0.03,0.06,0.09,0.35,1.0,0.03,0.19,0.06,0.27,0.44,0.0,0.35
zabbix.csv,0.38,0.01,0.11,0.06,0.27,0.81,0.03,0.1,0.06,0.24,1.0,0.0,0.31
