,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.48,0.02,0.2,0.11,0.88,0.49,0.05,0.1,0.08,0.3,0.38,0.04,0.41
emulemorph.csv,0.05,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.91,0.0,0.03,0.0,0.0
gisgraphy.csv,0.3,0.0,0.17,0.15,0.29,0.07,0.04,0.0,0.15,0.33,0.32,0.0,0.95
jaxen.csv,0.05,0.0,0.17,0.27,0.21,0.08,0.0,0.91,0.18,0.1,0.25,0.0,0.15
jvcl.csv,0.0,0.0,1.0,0.0,0.12,0.08,0.0,0.12,0.22,0.0,0.0,0.0,0.08
m-m-m.csv,0.38,0.02,0.18,0.11,0.41,1.0,0.05,0.11,0.03,0.46,0.51,0.02,0.44
motu.csv,0.3,0.11,0.19,0.0,0.43,0.27,0.0,0.09,0.13,0.96,0.26,0.0,0.06
nh3d.csv,0.09,1.0,0.18,0.38,0.33,0.0,0.12,0.32,0.3,0.44,0.31,0.0,0.14
sarasvati.csv,0.14,0.0,0.12,0.86,0.07,0.18,0.0,0.27,0.0,0.38,0.06,0.0,0.27
wgs-assembler.csv,0.95,0.06,0.1,0.14,0.32,0.11,0.06,0.31,0.11,0.34,0.3,0.0,0.33
zabbix.csv,0.54,0.01,0.2,0.1,0.4,0.79,0.06,0.18,0.11,0.38,0.98,0.0,0.46
