,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,7.0,0.0,13.0,31.0,0.0,0.0,41.0,25.0,2.0,16.0,1.0,45.0,1.0
emulemorph.csv,0.0,355.0,158.0,169.0,9.0,60.0,61.0,86.0,0.0,58.0,0.0,103.0,69.0
gisgraphy.csv,4.0,355.0,7.0,11.0,9.0,0.0,46.0,86.0,1.0,6.0,0.0,103.0,0.0
jaxen.csv,0.0,355.0,18.0,15.0,3.0,0.0,61.0,0.0,17.0,6.0,0.0,103.0,3.0
jvcl.csv,108.0,355.0,0.0,169.0,7.0,0.0,61.0,10.0,2.0,58.0,161.0,103.0,2.0
m-m-m.csv,2.0,0.0,10.0,17.0,15.0,0.0,39.0,70.0,31.0,5.0,0.0,76.0,1.0
motu.csv,1.0,4.0,2.0,169.0,3.0,0.0,61.0,66.0,1.0,0.0,0.0,103.0,8.0
nh3d.csv,1.0,0.0,5.0,5.0,0.0,60.0,14.0,8.0,8.0,3.0,0.0,103.0,0.0
sarasvati.csv,1.0,355.0,13.0,0.0,2.0,0.0,61.0,16.0,109.0,0.0,0.0,103.0,1.0
wgs-assembler.csv,0.0,0.0,9.0,9.0,8.0,0.0,29.0,12.0,20.0,2.0,0.0,103.0,0.0
zabbix.csv,6.0,0.0,5.0,76.0,6.0,0.0,34.0,34.0,3.0,10.0,0.0,103.0,1.0
