,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.82,0.5,0.38,0.45,0.79,0.35,1.0,0.4,0.5,0.62,0.49,1.0,0.55
emulemorph.csv,0.03,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.83,0.0,0.02,0.0,0.0
gisgraphy.csv,0.26,0.0,0.44,0.73,0.38,0.04,1.0,0.0,0.67,0.62,0.4,0.0,0.91
jaxen.csv,0.03,0.0,0.31,0.55,0.17,0.04,0.0,1.0,0.5,0.08,0.15,0.0,0.09
jvcl.csv,0.0,0.0,1.0,0.0,0.08,0.04,0.0,0.2,0.17,0.0,0.0,0.0,0.05
m-m-m.csv,0.38,0.75,1.0,0.82,1.0,1.0,1.0,1.0,0.17,0.92,0.77,1.0,0.86
motu.csv,0.23,0.5,0.56,0.0,0.33,0.16,0.0,0.8,0.17,0.92,0.2,0.0,0.05
nh3d.csv,0.05,1.0,0.19,0.45,0.25,0.0,1.0,0.6,0.5,0.54,0.18,0.0,0.09
sarasvati.csv,0.08,0.0,0.44,0.82,0.04,0.1,0.0,0.8,0.0,0.31,0.03,0.0,0.18
wgs-assembler.csv,0.9,0.75,0.25,0.27,0.29,0.06,1.0,0.8,0.33,0.46,0.23,0.0,0.32
zabbix.csv,0.97,0.5,1.0,0.64,0.71,0.76,1.0,1.0,1.0,0.92,0.95,0.0,0.86
