,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.65,0.54,0.68,0.44,1.0,0.75,0.48,1.0,0.34,0.82,0.75,0.67
baadengine.csv,0.71,0.94,0.91,0.93,1.0,0.25,0.88,1.0,1.0,0.97,0.83,0.97
chaosrts.csv,0.37,0.46,0.45,0.53,0.5,0.5,0.36,0.45,0.62,0.5,0.77,1.0
chaperon.csv,0.47,0.23,0.5,0.68,0.0,1.0,0.52,0.27,0.52,0.59,0.14,0.39
empyrean.csv,0.0,0.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrate.csv,0.0,0.0,0.82,0.8,0.5,0.25,0.84,0.55,0.0,0.74,0.27,0.7
jaxlib.csv,0.29,0.33,0.0,0.17,1.0,0.5,0.16,0.73,0.38,0.24,0.78,0.21
joustsim.csv,0.31,0.78,1.0,0.66,0.5,0.5,0.88,0.82,0.97,0.88,0.17,0.64
loki-lib.csv,0.48,0.55,0.41,0.41,0.5,0.25,0.4,0.91,0.69,0.65,0.71,0.76
owlapi.csv,0.89,0.41,0.09,0.47,0.0,0.0,0.76,0.45,0.07,0.65,0.45,0.39
pamguard.csv,0.26,0.46,0.41,0.68,0.0,0.25,0.6,0.27,0.1,0.71,0.96,0.24
poormans.csv,0.79,0.19,0.23,0.46,1.0,0.0,0.52,0.27,0.0,0.65,0.41,0.94
