,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.0,0.47,0.53,0.0,0.69,0.59,0.04,1.0,0.0,0.59,0.96,0.1,0.8,0.0,0.12,0.0
fontforge.csv,0.42,0.3,0.43,0.34,0.69,0.45,0.02,0.75,0.13,0.49,0.87,0.09,0.69,0.41,0.08,0.19
glas.csv,0.49,0.34,0.67,0.34,0.69,0.43,0.03,0.45,0.16,0.53,0.83,0.08,0.74,0.6,0.12,0.23
hannosset.csv,0.53,0.28,0.91,0.25,0.74,0.38,0.0,0.45,0.14,0.4,0.88,0.17,0.62,0.17,0.26,0.27
hatari.csv,0.45,0.38,0.64,0.37,0.7,0.48,0.02,0.43,0.14,0.49,0.95,0.09,0.73,0.43,0.09,0.24
jaolt.csv,0.55,0.32,0.73,0.31,0.65,0.59,0.09,0.43,0.19,0.0,0.9,0.07,0.8,0.56,0.05,0.32
ltp.csv,0.5,0.29,0.46,0.42,0.8,0.44,0.0,0.47,0.13,0.51,0.91,0.12,0.71,0.39,0.08,0.21
mia.csv,0.52,0.89,0.52,0.31,0.72,0.59,0.03,0.51,0.09,0.48,0.98,0.28,0.88,0.25,0.14,0.27
net-snmp.csv,0.63,0.42,0.61,0.35,0.62,0.42,0.05,0.44,0.14,0.49,0.83,0.13,0.69,0.33,0.13,0.14
opde.csv,0.45,0.33,0.45,0.58,0.69,0.45,0.04,0.5,0.15,0.0,0.93,0.09,0.7,0.53,0.07,0.16
oppna-program-hsatools.csv,0.49,0.39,0.51,0.36,0.74,0.54,0.02,0.42,0.14,0.49,0.98,0.09,0.75,0.5,0.17,0.16
powerfolder-.csv,0.51,0.51,0.6,0.33,0.58,0.47,0.07,0.5,0.23,0.43,0.91,0.08,0.84,0.4,0.2,0.21
qlc.csv,0.0,0.35,0.0,0.44,0.7,0.54,0.07,0.0,0.24,0.71,0.93,0.08,0.8,0.44,0.08,0.21
quantlib.csv,0.45,0.29,1.0,0.0,0.69,0.19,0.0,0.44,0.0,0.49,0.56,0.18,0.5,0.0,0.0,0.37
tcl.csv,0.38,0.29,0.41,0.33,0.71,0.38,0.0,0.0,0.14,0.66,0.82,0.06,0.71,0.4,0.07,0.19
