,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.0,0.22,0.22,0.0,0.88,0.29,0.42,0.0,0.0,0.28,0.04,0.05,0.34,0.0,0.1,0.01
fontforge.csv,0.96,0.86,1.0,1.0,1.0,0.66,0.98,0.19,0.89,1.0,0.43,0.89,0.83,0.84,1.0,0.97
glas.csv,0.71,0.7,0.25,0.42,0.89,0.76,0.63,0.87,0.74,0.6,0.74,0.81,0.69,0.31,0.52,0.56
hannosset.csv,0.45,0.18,0.03,0.07,0.57,0.32,0.25,0.39,0.48,0.22,0.13,0.11,0.17,0.09,0.25,0.2
hatari.csv,0.67,0.54,0.28,0.73,0.92,0.53,0.83,0.94,0.94,0.88,0.17,0.96,0.76,0.78,0.59,0.47
jaolt.csv,0.39,0.64,0.08,0.44,0.08,0.17,0.19,0.52,0.3,0.02,0.35,0.51,0.48,0.07,0.3,0.14
ltp.csv,0.27,0.74,0.86,0.71,0.46,0.64,0.73,0.84,0.64,0.6,0.3,0.47,0.83,0.49,0.96,0.73
mia.csv,0.43,0.01,0.39,0.78,0.19,0.12,0.58,0.58,0.62,0.98,0.04,0.19,0.07,0.05,0.09,0.28
net-snmp.csv,0.31,0.41,0.31,0.53,0.74,0.73,0.37,1.0,0.89,0.6,0.57,0.58,0.41,0.69,0.29,0.25
opde.csv,1.0,0.5,1.0,0.22,1.0,0.57,0.48,0.19,0.65,0.05,0.22,0.98,0.76,0.15,0.96,0.56
oppna-program-hsatools.csv,0.73,0.49,0.64,1.0,0.73,0.33,0.83,1.0,0.89,0.95,0.09,0.99,0.62,0.16,0.22,0.62
powerfolder-.csv,0.43,0.24,0.17,0.64,0.23,0.24,0.25,0.23,0.37,0.4,0.26,0.81,0.21,0.05,0.12,0.28
qlc.csv,0.0,0.76,0.0,0.4,0.81,0.34,0.25,0.0,0.38,0.05,0.13,0.73,0.28,0.75,0.68,0.51
quantlib.csv,1.0,0.14,0.0,0.0,1.0,0.26,0.0,1.0,0.02,1.0,0.3,0.05,0.14,0.0,0.0,0.28
tcl.csv,0.67,0.85,0.75,0.96,0.69,0.72,0.79,0.0,0.57,0.38,0.7,0.89,0.93,0.91,0.62,0.79
