,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.0,0.45,0.31,0.0,0.89,0.61,1.0,0.04,0.0,0.41,0.21,0.06,0.53,0.0,0.17,0.0
fontforge.csv,0.88,0.9,0.93,0.92,1.0,0.79,1.0,0.75,0.83,1.0,0.62,0.83,0.74,0.86,1.0,0.92
glas.csv,0.83,0.87,0.62,0.4,0.87,0.82,1.0,0.92,0.89,0.69,0.78,0.72,0.77,0.68,0.83,0.67
hannosset.csv,0.63,0.16,0.34,0.04,0.72,0.29,0.0,0.42,0.5,0.15,0.21,0.22,0.11,0.03,1.0,0.29
hatari.csv,0.68,0.81,0.62,0.76,0.96,0.73,1.0,0.92,0.94,0.87,0.64,0.94,0.84,0.86,0.67,0.58
jaolt.csv,0.59,0.71,0.28,0.36,0.06,0.35,1.0,0.5,0.44,0.0,0.7,0.39,0.75,0.14,0.17,0.25
ltp.csv,0.34,0.74,0.9,0.92,0.79,0.73,0.0,0.96,0.61,0.64,0.65,0.61,0.81,0.46,1.0,0.75
mia.csv,0.59,0.26,0.52,0.64,0.21,0.26,1.0,0.79,0.39,0.92,0.38,0.72,0.21,0.03,0.17,0.42
net-snmp.csv,0.66,0.71,0.59,0.52,0.54,0.77,1.0,1.0,0.94,0.59,0.61,0.89,0.37,0.51,0.5,0.17
opde.csv,1.0,0.58,1.0,0.56,1.0,0.68,1.0,0.25,0.72,0.0,0.59,1.0,0.71,0.24,0.83,0.42
oppna-program-hsatools.csv,0.88,0.74,0.83,1.0,0.93,0.56,1.0,0.92,0.89,0.95,0.82,1.0,0.73,0.24,0.5,0.46
powerfolder-.csv,0.56,0.61,0.31,0.56,0.14,0.3,1.0,0.29,0.72,0.31,0.58,0.72,0.42,0.05,0.33,0.29
qlc.csv,0.0,0.97,0.0,0.56,0.83,0.59,1.0,0.0,0.78,0.13,0.36,0.67,0.45,0.86,0.67,0.54
quantlib.csv,1.0,0.13,0.03,0.0,1.0,0.09,0.0,1.0,0.0,1.0,0.08,0.11,0.05,0.0,0.0,0.67
tcl.csv,0.51,0.84,0.66,0.84,0.74,0.65,0.0,0.0,0.61,0.74,0.7,0.56,0.9,0.89,0.5,0.75
