,campsoft.csv,jahshaka.csv,jmoney.csv,sblim.csv,swtfox.csv,calcubetimer.csv,freedom-erp.csv,elynx.csv,tart.csv,reaper3d.csv
calcubetimer.csv,0.0,0.24,0.67,0.43,0.36,0.91,0.75,0.0,0.11,0.07
freedom-erp.csv,0.0,0.14,0.53,0.2,0.3,0.63,0.75,0.0,0.0,0.0
jahshaka.csv,0.04,0.6,0.43,0.2,0.36,0.46,0.5,0.05,0.04,0.04
jmoney.csv,0.0,0.5,0.73,0.34,0.35,0.62,0.39,0.0,0.13,0.22
reaper3d.csv,0.03,0.43,0.52,0.4,0.42,0.71,0.71,0.0,0.12,0.24
sblim.csv,0.0,0.27,0.58,0.64,0.09,0.16,0.29,0.0,0.12,0.0
swtfox.csv,0.14,0.32,0.29,0.24,0.62,0.31,0.2,0.0,0.15,0.07
tart.csv,0.0,0.2,0.5,0.58,0.51,0.41,0.02,0.0,0.31,0.16
