,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
fluidium.csv,0.0,0.0,52.0,1.0,21.0,0.0,4.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0
guineu.csv,0.0,5.0,0.0,1.0,12.0,1.0,1.0,1.0,3.0,9.0,0.0,1.0,3.0,0.0,1.0
inkscape.csv,12.0,0.0,52.0,62.0,3.0,1.0,0.0,2.0,68.0,3.0,0.0,0.0,4.0,4.0,1.0
mpqc.csv,0.0,0.0,6.0,0.0,124.0,0.0,3.0,0.0,3.0,8.0,1.0,6.0,0.0,0.0,1.0
nsis.csv,11.0,6.0,0.0,16.0,14.0,1.0,4.0,3.0,4.0,14.0,0.0,2.0,3.0,0.0,1.0
octave.csv,0.0,0.0,1.0,1.0,0.0,13.0,1.0,1.0,3.0,9.0,0.0,0.0,0.0,1.0,0.0
owfs.csv,3.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,11.0,15.0,0.0,0.0,2.0,1.0,0.0
owlib.csv,3.0,0.0,0.0,1.0,10.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0
pamguard.csv,1.0,10.0,0.0,0.0,6.0,4.0,2.0,6.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0
prelude.csv,0.0,0.0,0.0,0.0,14.0,4.0,3.0,1.0,3.0,10.0,1.0,2.0,0.0,0.0,1.0
robocode.csv,0.0,0.0,0.0,2.0,12.0,2.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,1.0,0.0
uwom-server.csv,0.0,18.0,0.0,1.0,124.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
zengine.csv,0.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0,15.0,0.0,0.0,4.0,0.0,0.0
zildo.csv,2.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
