,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv
checker-framework.csv,0.39,0.35,0.06,0.31,0.11,0.47,0.14,0.42,0.93,0.31,0.09,0.21,0.37,0.12,0.25
fluidium.csv,0.27,0.46,0.0,0.4,0.37,0.47,0.47,0.2,0.34,0.36,0.47,0.29,0.21,0.96,0.29
guineu.csv,1.0,0.32,0.31,0.09,0.2,0.48,0.19,0.46,0.55,0.57,0.22,0.32,0.34,0.56,0.36
inkscape.csv,0.36,0.41,0.0,0.0,0.27,0.46,0.96,0.26,0.0,0.47,0.24,0.39,0.17,0.47,0.09
mpqc.csv,0.38,0.11,0.14,0.21,0.0,0.87,0.09,0.38,0.23,0.34,0.53,0.3,0.34,0.54,0.26
nsis.csv,0.57,0.2,0.0,0.33,0.05,0.09,0.13,0.49,0.5,0.21,1.0,0.29,0.6,0.27,0.51
octave.csv,0.59,0.52,0.73,0.63,0.96,0.23,0.61,0.55,0.39,0.52,0.29,0.6,0.46,0.33,0.44
owfs.csv,0.58,0.34,0.53,1.0,0.4,0.24,0.33,0.34,0.56,0.38,0.1,0.21,0.55,0.06,0.54
owlib.csv,0.66,0.97,0.57,0.6,0.56,0.51,0.55,0.67,0.56,0.51,0.36,0.42,0.63,0.49,0.59
pamguard.csv,0.56,0.41,0.0,0.64,0.54,0.23,0.45,0.59,0.61,0.3,0.3,0.6,0.65,0.33,0.98
prelude.csv,0.54,0.47,1.0,0.56,0.17,0.42,0.58,0.26,0.59,0.48,0.0,0.54,0.47,0.52,0.44
robocode.csv,0.38,0.48,0.2,0.65,0.67,0.46,0.67,0.93,0.52,0.63,0.43,0.3,0.65,0.65,0.5
uwom-server.csv,0.39,0.17,0.02,0.11,0.0,0.12,0.37,0.34,0.54,0.9,0.07,0.25,0.21,0.38,0.23
zengine.csv,0.27,0.35,0.85,0.41,0.77,0.49,0.59,0.43,0.5,0.58,0.64,0.98,0.45,0.56,0.24
zildo.csv,0.57,0.53,0.49,0.64,0.31,0.49,0.4,0.39,0.57,0.4,0.31,0.51,0.91,0.51,0.53
