,awemud.csv,liferea.csv,go.csv,kwave.csv,dvd-create.csv,gbif-indexingtoolkit.csv,mpgravity.csv,clamav.csv,linux-ntfs.csv,libarchive.csv
awemud.csv,0.43,0.41,0.5,0.64,0.76,0.47,0.81,0.85,0.44,0.67
clamav.csv,0.39,0.5,0.56,0.73,0.46,0.61,0.0,0.58,0.44,0.67
dvd-create.csv,0.35,0.26,0.4,0.44,0.4,0.38,0.45,0.38,0.35,0.45
gbif-indexingtoolkit.csv,0.92,0.8,0.79,0.92,0.93,0.91,0.67,0.76,0.73,0.81
go.csv,0.39,0.39,0.45,0.46,0.44,0.37,0.79,0.54,0.38,0.46
kwave.csv,0.64,0.39,0.59,0.93,0.64,0.46,0.83,0.92,0.83,0.56
libarchive.csv,0.43,0.44,0.44,0.5,0.5,0.41,0.45,0.83,0.33,0.54
liferea.csv,0.49,0.77,0.54,0.9,0.74,0.45,0.0,0.78,0.47,0.62
linux-ntfs.csv,0.51,0.64,0.48,0.52,0.56,0.57,0.42,0.7,0.56,0.61
mpgravity.csv,0.53,0.72,0.66,0.57,0.61,0.5,0.75,0.6,0.54,0.65
