,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.07,0.23,0.9,0.23,0.31,0.94,0.67
kftpgrabber.csv,0.37,0.83,0.75,1.0,0.22,0.19,0.53
kindb.csv,0.3,0.54,1.0,0.52,0.46,0.22,0.77
m-a-d-n-e-s-s.csv,0.5,0.92,1.0,0.5,0.57,0.21,0.81
netatalk.csv,0.64,0.45,0.94,0.52,1.0,0.15,0.86
quickfast.csv,0.26,0.3,0.71,0.43,0.23,0.25,1.0
wow-qrsk.csv,0.99,0.5,1.0,0.5,0.33,0.19,1.0
