,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.21,0.17,0.47,0.0,0.41,0.5,0.14,1.0,0.57,0.56,0.32,0.45,0.33,0.43,0.36,0.57,0.43
checker-framework.csv,0.48,0.25,0.57,0.33,0.31,0.35,0.45,0.46,1.0,0.15,0.31,0.4,0.26,0.28,0.19,0.5,0.73
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ctrlr.csv,0.02,0.0,0.0,0.0,0.11,0.0,0.07,0.0,0.0,0.0,0.17,0.0,0.0,1.0,0.18,0.0,0.0
fontforge.csv,0.45,0.63,0.48,0.65,0.67,0.41,0.35,0.5,0.45,0.9,0.49,0.49,0.31,0.68,0.43,0.66,0.67
gusanos.csv,0.51,0.65,0.62,0.52,0.72,0.27,0.44,0.55,0.57,0.36,0.3,0.54,0.44,0.42,0.99,0.67,0.72
jvcl.csv,0.0,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
kwave.csv,0.47,0.33,0.41,0.17,0.48,0.67,0.9,0.49,0.58,0.25,0.31,0.45,0.21,0.28,0.52,0.32,0.45
liferea.csv,0.48,0.33,0.45,0.68,0.65,1.0,0.29,0.42,0.59,0.48,0.34,0.54,0.31,0.22,0.44,0.58,0.0
lockss.csv,0.35,0.25,0.15,0.46,0.31,0.36,0.0,0.29,0.18,0.0,0.32,0.96,0.02,0.06,0.36,0.26,0.0
magicwars.csv,0.34,0.0,0.3,0.2,0.57,0.0,0.0,0.5,0.21,0.0,0.88,0.05,0.69,0.0,0.0,0.42,0.3
psrchive.csv,0.31,0.94,0.42,0.58,0.31,0.18,0.07,0.33,0.46,0.2,0.35,0.35,0.06,0.0,0.21,0.51,0.84
pydev.csv,0.47,0.33,0.71,0.0,0.0,0.35,0.14,0.56,0.58,0.55,0.28,0.48,0.45,0.06,0.12,0.98,0.69
sarasvati.csv,0.21,0.0,0.07,0.17,1.0,0.1,0.15,0.0,0.36,0.0,0.21,0.0,0.11,0.06,0.04,0.2,0.44
stuproa-cims.csv,0.54,0.25,0.5,0.55,0.41,0.49,0.55,0.59,0.75,0.0,0.45,0.67,0.96,0.06,0.0,0.72,0.73
thout.csv,0.87,0.45,0.63,0.58,0.42,0.45,0.48,0.24,0.3,0.2,0.43,0.57,0.55,0.27,0.48,0.44,0.0
zact.csv,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.17,0.36,0.0,0.0,0.41,0.0
