,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.82,0.91,0.66,1.02,0.66,0.77,0.97,0.0,0.54,0.56,0.73,0.65,0.75,0.82,0.81,0.57,0.7
checker-framework.csv,0.6,0.82,0.75,0.76,0.79,0.72,0.74,0.65,0.02,0.88,0.74,0.7,0.78,0.77,0.86,0.83,0.5
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ctrlr.csv,0.98,1.0,1.0,1.0,0.91,1.0,0.94,1.01,1.04,1.0,0.88,1.0,1.0,0.02,0.86,1.0,1.0
fontforge.csv,0.66,0.55,0.62,0.59,0.56,0.71,0.76,0.7,0.87,0.13,0.71,0.61,0.77,0.56,0.85,0.63,0.63
gusanos.csv,0.62,0.59,0.65,0.8,0.43,0.82,0.86,0.71,0.54,0.79,0.93,0.67,0.68,0.69,0.04,0.59,0.52
jvcl.csv,1.0,1.0,0.0,0.86,1.0,1.0,1.0,1.0,0.92,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
kwave.csv,0.62,0.79,0.75,0.9,0.63,0.69,0.12,0.64,0.49,0.81,0.75,0.63,0.86,0.81,0.59,0.77,0.63
liferea.csv,0.6,0.75,0.86,0.49,0.47,0.0,0.77,0.66,0.48,0.69,0.72,0.54,0.77,0.82,0.62,0.6,1.06
lockss.csv,0.72,0.79,0.88,0.66,0.74,0.69,1.0,0.76,0.85,1.0,0.75,0.05,0.98,0.95,0.69,0.8,1.0
magicwars.csv,0.91,1.0,0.92,0.96,0.77,1.0,1.0,0.82,0.95,1.0,0.14,0.99,0.55,1.0,1.0,0.87,0.92
psrchive.csv,0.74,0.07,0.67,0.73,0.74,0.85,0.94,0.73,0.86,0.83,0.72,0.81,0.95,1.0,0.83,0.59,0.48
pydev.csv,0.62,0.74,0.56,1.02,1.01,0.72,0.91,0.58,0.49,0.69,0.76,0.67,0.67,0.96,0.9,0.03,0.59
sarasvati.csv,0.82,1.0,0.95,0.86,0.0,0.92,0.88,1.0,0.69,1.0,0.82,1.0,0.91,0.95,0.97,0.84,0.67
stuproa-cims.csv,0.75,0.83,0.83,0.76,0.66,0.61,0.65,0.7,0.58,1.0,0.87,0.64,0.05,0.97,1.0,0.55,0.65
thout.csv,0.16,0.72,0.61,0.76,0.87,0.78,0.82,0.9,1.04,0.86,0.88,0.73,0.75,0.93,0.84,0.73,1.02
zact.csv,1.0,1.0,1.0,0.29,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.87,0.8,1.0,1.0,0.84,1.0
