,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.44,0.08,0.13,0.0,0.12,0.21,0.08,1.0,0.3,0.57,0.82,0.27,0.31,0.2,0.63,0.44,0.1
checker-framework.csv,0.41,0.14,0.11,0.06,0.06,0.31,0.21,0.34,0.93,0.75,0.54,0.24,0.8,0.42,0.65,0.32,0.14
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ctrlr.csv,0.33,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.26,0.0,0.0,0.95,0.71,0.0,0.0
fontforge.csv,0.29,0.22,0.16,0.08,0.09,0.24,0.22,0.26,0.15,0.95,0.32,0.29,0.28,0.35,0.62,0.41,0.11
gusanos.csv,0.3,0.2,0.12,0.05,0.13,0.19,0.17,0.26,0.3,0.38,0.32,0.21,0.32,0.31,0.99,0.42,0.14
jvcl.csv,0.0,0.0,1.0,0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
kwave.csv,0.33,0.14,0.09,0.03,0.09,0.29,1.0,0.32,0.44,0.45,0.44,0.32,0.2,0.24,0.79,0.36,0.17
liferea.csv,0.41,0.19,0.1,0.09,0.13,1.0,0.31,0.38,0.5,0.46,0.48,0.37,0.29,0.31,0.93,0.41,0.0
lockss.csv,0.42,0.38,0.11,0.07,0.11,0.67,0.0,0.4,0.5,0.0,0.39,1.0,0.14,0.33,0.95,0.36,0.0
magicwars.csv,0.23,0.16,0.1,0.05,0.08,0.23,0.22,0.26,0.2,0.44,0.97,0.18,0.36,0.26,0.7,0.35,0.09
psrchive.csv,0.39,1.0,0.15,0.06,0.11,0.4,0.33,0.35,0.16,0.8,0.42,0.15,0.21,0.0,0.8,0.49,0.17
pydev.csv,0.34,0.21,0.15,0.0,0.0,0.33,0.12,0.35,0.44,0.45,0.69,0.22,0.32,0.17,0.7,1.0,0.12
sarasvati.csv,0.57,0.0,0.05,0.17,1.0,1.0,0.67,0.0,0.57,0.0,0.5,0.0,0.45,0.5,0.67,0.55,0.12
stuproa-cims.csv,0.22,0.14,0.11,0.06,0.14,0.32,0.25,0.28,0.27,0.44,0.26,0.24,0.98,0.08,0.7,0.45,0.13
thout.csv,1.0,0.15,0.13,0.06,0.04,0.19,0.19,0.15,0.1,0.4,0.27,0.2,0.27,0.27,0.68,0.33,0.0
zact.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38,0.22,0.0,0.0,0.26,0.0
