,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.61,0.53,0.4,0.83,0.5,0.19,0.71,0.77,0.3,0.33,0.0,0.52,0.52,0.68,0.62,0.31,0.29,0.38
arsenal-1.csv,0.32,0.74,0.15,0.17,0.23,0.7,0.09,0.05,0.06,0.33,0.2,0.19,0.61,0.28,0.25,0.66,0.12,0.19
atomsite.csv,0.71,0.96,1.0,1.0,0.73,0.74,0.84,1.0,0.87,1.0,0.8,0.67,0.9,0.84,0.88,0.97,0.74,0.45
barracudamvc.csv,0.87,0.76,0.65,0.96,1.0,0.93,0.98,0.91,1.0,0.0,0.9,1.0,0.67,1.0,1.0,0.52,1.0,0.98
bionote.csv,0.52,0.66,0.05,0.52,0.14,0.48,0.25,0.14,0.06,0.67,0.3,0.48,0.54,0.36,0.88,0.38,0.1,0.31
bulmages.csv,0.0,0.49,0.8,0.04,0.09,0.04,0.07,0.27,0.07,1.0,0.2,0.76,0.26,0.56,0.0,0.62,0.17,0.52
fm-classic.csv,0.01,0.15,0.35,0.22,0.0,0.15,0.24,0.14,0.02,1.0,0.2,0.1,0.15,0.04,0.38,0.38,0.05,0.1
hazelcast.csv,0.67,0.93,0.6,0.96,0.73,0.7,0.95,1.0,0.69,1.0,0.9,0.67,0.83,0.8,0.88,0.86,0.88,0.71
jppf-project.csv,0.51,0.6,0.85,0.78,0.32,0.93,0.73,0.32,0.19,1.0,0.6,0.52,0.74,0.4,0.62,0.83,0.17,0.45
megasquirtavr.csv,1.0,0.65,0.6,1.0,0.68,1.0,0.96,0.5,0.98,0.33,0.9,0.81,0.85,0.88,0.75,0.76,0.64,0.62
mevenide.csv,0.53,0.76,0.4,0.43,0.14,0.07,0.04,0.05,0.0,1.0,0.0,0.19,0.43,0.08,0.38,0.66,0.12,0.12
mumble.csv,0.7,0.6,0.4,0.87,0.5,0.52,0.8,0.14,0.57,0.0,0.6,0.67,0.43,0.88,0.5,0.28,0.36,0.36
mycila.csv,0.8,0.79,0.15,0.78,0.82,1.0,0.56,0.14,0.67,0.67,0.8,0.81,0.76,0.44,0.75,0.34,0.88,0.83
opengs.csv,0.64,0.7,0.3,0.22,0.64,0.63,0.45,0.55,0.78,1.0,0.5,0.62,0.09,0.68,0.62,0.41,0.78,0.6
openintents.csv,0.54,0.38,0.35,0.65,0.77,1.0,0.76,0.86,0.93,1.0,0.5,0.29,0.84,0.32,1.0,0.55,0.69,0.67
tweetsharp.csv,0.18,0.37,0.8,0.57,0.68,0.93,0.64,0.82,1.0,0.33,0.8,0.52,0.13,0.68,0.38,0.28,0.72,0.76
xharbour.csv,0.75,0.93,0.95,0.83,0.64,1.0,0.69,0.91,1.0,1.0,0.9,0.71,0.43,0.8,0.88,0.97,1.0,0.79
