,f1,g,recall,precision,pf,wins
alembik.csv,0.47,0.525,0.51,0.525,0.26,13
arsenal-1.csv,0.27,0.23,0.21500000000000002,0.5,0.16,4
atomsite.csv,0.595,0.585,0.855,0.475,0.72,14
barracudamvc.csv,0.565,0.14500000000000002,0.9450000000000001,0.4,0.94,5
bionote.csv,0.395,0.41,0.37,0.55,0.17,11
bulmages.csv,0.255,0.22,0.23,0.385,0.20500000000000002,1
fm-classic.csv,0.22999999999999998,0.18,0.15,0.4,0.065,2
hazelcast.csv,0.565,0.625,0.845,0.425,0.65,15
jppf-project.csv,0.33,0.445,0.6,0.31,0.63,3
megasquirtavr.csv,0.565,0.38,0.785,0.41,0.81,7
mevenide.csv,0.215,0.2,0.165,0.41500000000000004,0.125,0
mumble.csv,0.475,0.495,0.51,0.425,0.445,9
mycila.csv,0.54,0.415,0.77,0.45999999999999996,0.7050000000000001,10
opengs.csv,0.515,0.59,0.62,0.51,0.385,16
openintents.csv,0.535,0.365,0.6799999999999999,0.4,0.775,6
tweetsharp.csv,0.48,0.4,0.66,0.415,0.52,8
xharbour.csv,0.56,0.565,0.89,0.405,0.72,12
