,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.34,0.49,0.36,0.43,0.41,0.44,0.4,0.51,0.63,0.33,0.35,0.43,0.42,0.32
cubefs.csv,0.89,0.93,0.53,0.46,0.54,0.62,0.5,0.49,0.62,0.44,0.43,0.34,0.42,0.41
gisgraphy.csv,0.88,0.98,0.81,0.67,0.94,0.81,0.9,0.43,0.75,0.9,0.59,0.78,0.67,0.67
iaml.csv,0.93,0.99,0.95,0.57,0.51,0.6,0.58,0.86,0.92,0.45,0.54,0.92,0.67,0.36
ivatamasks.csv,0.35,0.65,0.36,0.38,0.38,0.45,0.39,0.42,0.56,0.36,0.34,0.33,0.4,0.28
kolmafia.csv,0.34,0.44,0.29,0.41,0.37,0.44,0.36,0.38,0.51,0.33,0.37,0.32,0.36,0.29
ogrehg.csv,0.54,0.5,0.43,0.51,0.53,0.51,0.57,0.49,0.66,0.33,0.41,0.47,0.37,0.45
olex2.csv,0.42,0.55,0.83,0.43,0.64,0.69,0.68,0.51,0.67,0.45,0.48,0.45,0.4,0.45
openwbem.csv,0.43,0.44,0.34,0.44,0.58,0.42,0.51,0.4,0.51,0.48,0.35,0.4,0.35,0.33
oppna-program-hsatools.csv,0.36,0.51,0.49,0.43,0.48,0.43,0.4,0.86,0.84,0.34,0.34,0.46,0.43,0.33
orc.csv,0.5,0.57,0.62,0.57,0.61,0.46,0.77,0.48,0.83,0.46,0.75,0.61,0.0,0.92
ta3d.csv,0.58,0.99,0.88,0.5,0.95,0.92,0.61,0.83,0.8,0.88,0.42,0.86,0.61,0.92
umber.csv,0.56,0.44,0.3,0.41,0.4,0.4,0.42,0.42,0.57,0.4,0.34,0.36,0.37,0.31
xcmetadataservicestoolkit.csv,0.47,0.8,0.67,0.43,0.59,0.54,0.43,0.94,0.73,0.42,0.47,0.44,0.41,0.34
