,jahshakafx.csv,electric-core.csv,jython.csv,popeye-chess.csv,mvnforum.csv,plplot.csv,openmalaria.csv,dspace-gsoc.csv,kftpgrabber.csv,zxing.csv
dspace-gsoc.csv,0.37,0.62,1.01,0.35,0.83,0.53,0.72,0.43,0.5,0.83
electric-core.csv,0.85,0.46,1.0,0.4,0.74,0.54,0.71,0.7,0.74,0.67
jahshakafx.csv,0.32,0.49,0.28,0.55,0.8,0.46,0.65,0.67,0.44,0.53
jython.csv,0.74,0.57,0.21,0.45,0.65,0.77,0.67,0.81,0.92,0.5
kftpgrabber.csv,0.47,0.69,0.5,0.64,0.84,0.67,0.93,0.77,0.32,0.58
mvnforum.csv,0.98,0.93,0.42,0.96,0.49,0.78,0.91,0.81,0.88,0.89
openmalaria.csv,0.42,0.5,0.83,0.45,0.92,0.51,0.34,0.9,0.49,0.73
plplot.csv,0.58,0.89,0.97,0.34,0.58,0.44,0.74,0.62,0.56,0.89
popeye-chess.csv,0.37,0.45,0.59,0.41,0.85,0.61,0.46,0.71,0.54,0.49
zxing.csv,0.36,0.54,0.41,0.66,0.65,0.77,0.63,0.88,0.51,0.34
