,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.84,1.0,1.0,0.0,0.97,1.0,0.96,1.0,1.0,0.98
chrysalis.csv,0.32,0.16,0.85,0.67,0.34,0.09,0.67,0.17,0.27,0.22
jahshaka.csv,0.39,0.22,0.54,0.0,0.58,0.38,0.61,0.17,0.54,0.6
jam-daq.csv,0.39,0.04,0.15,0.0,0.11,0.09,0.3,0.04,0.04,0.02
jatlas.csv,0.77,0.51,0.83,0.33,0.16,0.14,0.57,0.38,0.34,0.14
jedit.csv,0.21,0.67,0.52,1.0,0.92,0.47,1.0,0.83,0.57,0.91
mscore.csv,0.39,0.78,0.59,1.0,0.68,0.27,0.94,0.58,0.71,0.78
open-media-library.csv,0.69,0.18,0.28,1.0,0.44,0.39,0.69,0.33,0.37,0.11
panda3d.csv,0.31,0.33,0.28,0.33,0.52,0.18,0.48,0.38,0.34,0.43
wheat.csv,0.49,0.37,0.89,0.0,0.58,0.26,0.76,0.33,0.38,0.24
