,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.8,0.09,0.39,0.18,0.41,0.14,0.81,0.31,0.28,0.37,0.03,0.47,0.15,0.72,0.0
bscwweasel.csv,0.75,0.0,0.31,0.34,0.5,0.25,0.71,0.29,0.42,0.4,0.07,0.33,0.23,0.87,0.0
capcode.csv,0.75,0.11,0.27,0.14,0.36,0.32,0.76,0.38,0.31,0.4,0.03,0.4,0.29,0.77,0.03
cme.csv,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.83
emite.csv,0.56,0.09,0.32,0.15,0.54,0.09,0.92,0.31,0.36,0.32,0.14,0.61,0.08,0.74,0.1
fluent-nhibernate.csv,0.86,0.13,0.42,0.3,0.52,0.31,0.81,0.25,0.35,0.39,0.06,0.55,0.35,0.77,0.0
lamp.csv,0.51,0.24,0.41,0.15,0.32,0.13,0.74,0.33,0.26,0.45,0.05,0.43,0.18,0.68,0.14
mecat.csv,0.0,0.25,1.0,0.0,0.44,0.12,0.0,0.75,0.0,0.67,0.3,0.0,0.29,0.0,0.24
nodal.csv,1.0,0.13,0.51,0.18,0.28,0.19,1.0,0.52,0.62,0.44,0.06,0.57,0.29,0.92,0.11
pydev.csv,0.49,0.13,0.31,0.13,0.32,0.16,0.71,0.27,0.3,0.58,0.06,0.42,0.15,0.65,0.1
retromenu.csv,0.79,0.19,0.6,0.26,0.64,0.19,0.75,0.2,0.37,0.8,0.04,0.8,0.13,0.95,0.0
smbopensoft.csv,0.81,0.1,0.21,0.11,0.26,0.11,0.77,0.21,0.4,0.3,0.03,0.45,0.18,0.87,0.1
stuproa-cims.csv,0.0,0.5,0.4,0.22,0.4,0.29,0.5,0.52,0.24,0.49,0.1,0.6,0.24,0.77,0.1
thout.csv,0.52,0.09,0.47,0.2,0.32,0.15,0.74,0.26,0.27,0.31,0.05,0.42,0.14,0.69,0.13
uface.csv,0.49,0.1,0.22,0.16,0.37,0.15,0.73,0.26,0.31,0.39,0.06,0.44,0.1,0.97,0.09
