,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.04,0.57,0.55,0.5,0.62,0.58,0.66,0.49,1.0,0.53,0.33,0.87,0.65,0.45,0.0
bscwweasel.csv,0.03,0.0,0.36,0.65,0.57,0.42,0.36,0.56,0.35,0.5,0.33,0.19,0.41,0.55,0.0
capcode.csv,0.03,0.93,0.82,0.85,0.38,0.75,0.5,0.58,0.96,0.53,0.33,0.58,0.29,0.6,0.2
cme.csv,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.02,0.04,0.0,0.33,0.0,0.0,0.0,1.0
emite.csv,0.92,0.21,0.43,0.3,0.67,0.25,0.11,0.22,0.17,0.67,0.33,0.71,0.29,0.21,0.4
fluent-nhibernate.csv,0.06,0.29,0.45,0.3,0.71,0.33,0.56,0.31,0.78,0.58,0.33,0.58,1.0,0.38,0.0
lamp.csv,0.73,0.64,0.39,0.55,1.0,0.67,0.92,0.65,0.7,0.78,1.0,0.29,0.82,0.73,1.0
mecat.csv,0.0,0.07,0.07,0.0,0.19,0.17,0.0,0.11,0.0,0.17,1.0,0.0,0.24,0.0,0.8
nodal.csv,0.02,0.43,0.43,0.45,0.57,0.58,0.02,0.22,0.7,0.75,0.67,0.26,0.82,0.51,0.6
pydev.csv,0.99,0.79,0.59,1.0,0.81,1.0,0.41,0.93,0.7,0.78,1.0,0.55,0.82,0.91,1.0
retromenu.csv,0.11,0.36,0.27,0.3,0.86,0.5,0.36,0.16,0.3,0.22,0.33,0.13,0.71,0.18,0.0
smbopensoft.csv,0.83,1.0,0.84,0.6,0.62,0.33,0.7,0.27,0.52,0.58,0.33,0.81,0.35,0.69,1.0
stuproa-cims.csv,0.0,0.14,0.43,0.45,0.81,0.33,0.02,0.62,0.48,0.53,1.0,0.29,0.76,0.81,0.6
thout.csv,0.33,0.86,0.64,0.45,0.71,1.0,0.99,0.85,1.0,0.5,1.0,0.94,0.94,0.81,0.6
uface.csv,1.0,1.0,0.91,0.85,1.0,0.75,0.98,0.6,0.61,0.67,1.0,0.68,1.0,0.94,1.0
