,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.3,0.15,0.38,0.39,0.18,0.25,0.0,0.21,0.18,0.5
flylegacy.csv,0.48,0.54,0.75,0.28,0.57,0.42,0.47,0.36,0.63,0.55
ftm.csv,0.43,0.26,0.54,0.27,0.29,0.25,0.24,0.6,0.67,0.62
jcache.csv,0.57,0.71,0.86,0.21,0.5,0.49,0.35,0.54,0.38,0.87
lphant.csv,0.55,0.74,0.69,0.27,0.71,0.59,0.53,0.68,0.65,0.76
minig.csv,0.44,0.77,0.79,0.24,0.6,0.63,0.5,0.57,0.15,0.69
mob-sen-plat.csv,0.53,0.81,0.83,0.23,0.68,0.46,0.49,0.57,0.59,0.6
raygina.csv,0.69,0.0,0.67,0.24,0.32,0.48,0.45,0.56,0.18,0.5
upp-mirror.csv,0.36,0.16,0.78,0.32,0.73,0.4,0.23,0.3,0.52,0.58
yarp.csv,0.29,0.0,0.35,0.06,0.0,0.36,0.57,0.24,0.03,0.38
