,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.4,0.5,0.76,0.3,0.54,0.44,0.0,0.5,0.47,0.86
flylegacy.csv,0.39,0.74,0.89,0.19,0.59,0.31,0.5,0.35,0.46,0.42
ftm.csv,0.53,1.0,0.86,0.24,0.63,0.64,0.5,0.62,0.63,0.89
jcache.csv,0.42,0.76,0.79,0.14,0.58,0.44,0.38,0.39,0.47,0.84
lphant.csv,0.4,0.75,0.81,0.17,0.64,0.54,0.44,0.68,0.52,0.69
minig.csv,0.34,0.62,0.72,0.14,0.54,0.57,0.38,0.4,0.35,0.78
mob-sen-plat.csv,0.4,0.86,0.75,0.15,0.61,0.37,0.5,0.48,0.48,0.66
raygina.csv,0.63,0.0,0.75,0.15,0.58,0.68,0.46,0.41,0.47,0.86
upp-mirror.csv,0.32,0.6,0.76,0.21,0.76,0.34,0.4,0.45,0.71,0.76
yarp.csv,0.5,0.0,0.82,0.09,0.0,0.36,0.54,0.36,0.33,0.69
