,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.8,0.69,0.89,0.33,0.28,0.3
l2j.csv,0.63,0.49,0.28,0.2,0.37,0.34
mule.csv,0.45,0.02,0.26,0.18,0.28,0.03
springside.csv,0.51,0.27,0.6,0.56,0.63,0.25
swtfox.csv,0.85,0.77,0.25,0.0,0.65,0.12
twostep.csv,0.82,0.49,0.46,0.2,0.58,0.49
