,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.47,0.89,0.54,0.95,0.59,0.99,0.0,0.6,0.6,0.69
fritzing.csv,0.56,0.58,0.57,0.52,0.45,0.53,0.62,0.67,0.52,0.48
jlinalg.csv,0.49,0.46,0.5,0.39,0.43,0.53,0.5,0.46,0.57,0.42
knowledge.csv,0.38,0.64,0.98,0.36,0.4,0.46,0.39,0.36,0.52,0.41
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.86
oscarmcmaster.csv,0.83,0.97,0.96,0.86,0.89,0.99,0.5,0.81,0.67,0.95
playerstage.csv,0.69,0.67,0.51,0.6,0.55,0.63,0.65,0.65,0.5,0.74
quarkplusplus.csv,0.53,0.62,0.46,0.6,0.45,0.55,0.52,0.41,0.67,0.51
rtrt-on-gpu.csv,0.75,0.79,0.79,0.78,0.79,0.71,0.9,0.73,0.74,0.96
superwaba.csv,0.44,0.54,0.44,0.47,0.4,0.44,0.58,0.39,0.48,0.43
