,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.0,1.0,0.0,0.0,0.0,30.0,57.0,0.0,0.0,2.0
fritzing.csv,0.0,3.0,0.0,6.0,0.0,186.0,4.0,2.0,2.0,1.0
jlinalg.csv,0.0,28.0,1.0,1.0,0.0,216.0,2.0,11.0,2.0,7.0
knowledge.csv,0.0,6.0,2.0,1.0,0.0,242.0,2.0,4.0,4.0,5.0
massiv.csv,63.0,141.0,0.0,140.0,66.0,0.0,57.0,65.0,55.0,1.0
oscarmcmaster.csv,0.0,17.0,5.0,1.0,0.0,76.0,1.0,1.0,2.0,0.0
playerstage.csv,0.0,2.0,0.0,0.0,0.0,72.0,0.0,2.0,1.0,5.0
quarkplusplus.csv,0.0,11.0,1.0,1.0,0.0,74.0,0.0,2.0,0.0,9.0
rtrt-on-gpu.csv,2.0,6.0,1.0,1.0,0.0,163.0,0.0,4.0,1.0,9.0
superwaba.csv,0.0,0.0,1.0,1.0,0.0,95.0,4.0,6.0,1.0,5.0
