,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.49,0.2,0.48,0.23,0.41,0.06,0.0,0.95,0.47,0.32
fritzing.csv,0.76,0.57,0.98,0.54,0.83,0.01,0.17,0.47,0.4,0.36
jlinalg.csv,0.99,0.47,0.57,0.58,0.92,0.02,0.15,0.49,0.65,0.36
knowledge.csv,0.61,0.28,0.33,0.58,1.0,0.02,0.27,0.48,0.56,0.34
massiv.csv,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.11
oscarmcmaster.csv,0.21,0.2,0.17,0.06,0.25,0.02,0.17,0.24,0.07,0.97
playerstage.csv,0.45,0.42,0.66,0.97,0.62,0.02,0.2,0.49,0.37,0.36
quarkplusplus.csv,0.85,0.54,0.62,0.55,0.67,0.03,0.19,0.52,1.0,0.37
rtrt-on-gpu.csv,0.07,0.34,0.35,0.29,0.44,0.01,1.0,0.24,0.42,0.14
superwaba.csv,0.59,0.94,0.67,0.62,0.8,0.03,0.28,0.49,0.6,0.32
