,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.14,0.03,0.27,0.14,0.2,0.15,0.0,0.02,0.06,0.26
fritzing.csv,0.14,0.25,0.0,0.42,0.4,0.51,0.23,0.2,0.38,0.46
jlinalg.csv,0.07,0.78,0.74,0.83,0.4,0.67,0.79,0.78,0.69,0.75
knowledge.csv,0.21,0.34,0.3,0.99,0.0,0.77,0.98,0.8,1.0,0.69
massiv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
oscarmcmaster.csv,0.0,0.25,0.21,0.06,0.0,0.17,0.02,0.35,0.06,0.0
playerstage.csv,0.07,0.27,0.31,0.0,0.2,0.35,0.35,0.17,0.22,0.3
quarkplusplus.csv,0.43,0.34,0.6,0.23,0.0,0.39,0.6,0.54,0.0,0.56
rtrt-on-gpu.csv,0.14,0.26,0.25,0.31,0.2,0.32,0.0,0.37,0.31,0.12
superwaba.csv,0.21,0.01,0.49,0.35,0.4,0.53,0.31,0.78,0.41,0.62
