,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,knowledge.csv,massiv.csv,rtrt-on-gpu.csv,amateur-scrolls.csv,quarkplusplus.csv,oscarmcmaster.csv
amateur-scrolls.csv,0.89,0.67,0.58,0.43,0.94,0.03,0.0,0.95,0.8,0.28
fritzing.csv,0.94,0.56,1.0,0.49,0.96,0.01,0.15,0.5,0.43,0.25
jlinalg.csv,0.98,0.34,0.48,0.43,0.96,0.01,0.1,0.33,0.5,0.23
knowledge.csv,0.88,0.3,0.45,0.41,1.0,0.01,0.16,0.33,0.41,0.22
massiv.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43
oscarmcmaster.csv,1.0,0.26,0.33,0.29,1.0,0.01,0.5,0.24,0.33,1.0
playerstage.csv,0.94,0.44,0.66,1.0,0.97,0.01,0.15,0.53,0.5,0.29
quarkplusplus.csv,0.87,0.49,0.54,0.6,1.0,0.01,0.12,0.39,1.0,0.25
rtrt-on-gpu.csv,0.5,0.38,0.5,0.35,0.95,0.01,1.0,0.23,0.47,0.19
superwaba.csv,0.88,0.98,0.59,0.57,0.96,0.01,0.21,0.33,0.55,0.21
