,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.67,0.5,0.31,0.6,0.36,0.0,0.5,0.38,0.2,0.26,0.69
ikvm.csv,0.48,0.0,0.39,0.14,0.19,0.17,0.5,0.32,0.52,0.25,0.14
libtorrent.csv,0.56,0.67,0.87,0.33,0.73,0.74,0.0,0.38,1.0,0.9,0.79
mcmc-jags.csv,0.44,0.93,0.68,0.0,0.72,0.95,0.5,0.65,0.87,0.61,0.86
moast.csv,0.0,0.07,0.09,0.0,0.08,0.03,0.0,0.16,0.16,0.02,0.03
olap-navigator.csv,0.0,0.4,0.53,0.19,0.34,0.31,0.11,0.62,0.55,0.52,0.86
pidgin.csv,0.22,0.5,0.57,0.31,0.0,0.44,0.33,0.57,0.93,0.61,0.52
salasaga.csv,0.89,0.87,0.81,0.93,0.94,0.92,0.94,0.76,0.0,0.85,1.0
sepgsql.csv,0.85,0.33,0.0,0.64,0.38,0.44,0.61,0.14,0.08,0.34,0.38
sigil.csv,0.04,0.47,0.02,0.12,0.05,0.0,0.22,0.0,0.33,0.21,0.41
xtreemfs.csv,0.3,0.47,0.49,0.12,0.23,0.35,0.17,0.32,0.51,0.02,0.41
