,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.74,0.29,0.07,0.31,0.79,1.0,0.86,0.73,0.28,0.93,0.91
ikvm.csv,0.67,1.0,0.05,0.14,0.83,0.17,0.82,0.52,0.07,0.86,0.92
libtorrent.csv,0.74,0.44,0.05,0.48,0.75,0.2,1.0,0.75,0.15,0.85,0.91
mcmc-jags.csv,0.77,0.39,0.05,1.0,0.75,0.19,0.88,0.66,0.13,0.89,0.9
moast.csv,1.0,0.33,0.09,1.0,0.77,0.0,1.0,0.84,0.11,0.98,1.0
olap-navigator.csv,1.0,0.43,0.08,0.53,0.83,0.39,0.96,0.67,0.17,0.9,0.9
pidgin.csv,0.84,0.5,0.07,0.19,1.0,0.27,0.89,0.64,0.15,0.89,0.84
salasaga.csv,0.62,0.43,0.04,0.24,0.67,0.17,0.82,0.49,1.0,0.83,0.28
sepgsql.csv,0.38,0.55,1.0,0.18,0.69,0.03,0.78,0.38,0.33,0.49,0.27
sigil.csv,0.97,0.48,0.19,0.55,0.88,1.0,0.91,1.0,0.19,0.94,0.95
xtreemfs.csv,0.81,0.39,0.07,0.62,0.86,0.3,0.94,0.78,0.16,1.0,0.95
