,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,gnupdate.csv,libtorrent.csv,sigil.csv,salasaga.csv,xtreemfs.csv,moast.csv
gnupdate.csv,0.64,0.3,0.51,0.63,0.56,0.79,0.55,0.69,0.47,0.7,0.66
ikvm.csv,0.45,1.0,0.47,0.09,0.39,0.18,0.43,0.29,0.24,0.33,0.24
libtorrent.csv,0.63,0.59,0.42,0.82,0.6,0.57,0.98,0.76,0.0,0.35,0.57
mcmc-jags.csv,0.64,0.26,0.61,0.94,0.6,0.21,0.63,0.68,0.38,0.71,0.45
moast.csv,0.06,0.06,0.23,0.24,0.12,0.0,0.04,0.64,0.13,0.16,0.99
olap-navigator.csv,0.98,0.44,0.76,0.63,0.68,0.81,0.59,0.71,0.59,0.77,0.45
pidgin.csv,0.56,0.63,0.71,0.23,0.99,0.67,0.55,0.64,0.27,0.71,0.36
salasaga.csv,0.33,0.41,0.45,0.26,0.23,0.29,0.23,0.42,0.91,0.43,0.0
sepgsql.csv,0.21,0.57,0.82,0.39,0.36,0.06,0.39,0.07,0.25,0.07,0.02
sigil.csv,0.61,0.58,0.13,0.45,0.17,0.12,0.45,0.98,0.46,0.7,0.83
xtreemfs.csv,0.58,0.43,0.65,0.58,0.6,0.65,0.56,0.79,0.53,0.99,0.87
