,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.68,0.96,0.4,1.0,1.0
mediaportal.csv,0.55,0.41,0.82,0.5,0.5
poormans.csv,0.61,0.74,0.85,0.9,0.38
smartgwt.csv,0.61,0.32,0.67,0.63,0.57
sqlpower-library.csv,0.44,0.78,0.86,0.96,0.79
