,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.47,0.45,0.57,0.66,0.45,0.67,0.51,0.57,0.82,0.71,0.45
linux-ntfs.csv,0.44,0.51,0.5,0.93,0.65,0.4,0.38,0.51,0.54,0.39,0.5
olap-navigator.csv,0.61,0.44,0.78,0.75,0.48,0.52,0.54,0.62,0.55,0.89,0.39
phonon-vlc-mplayer.csv,0.78,0.55,0.84,0.58,0.46,0.36,0.39,0.97,0.47,0.82,0.4
qgis.csv,0.8,0.51,0.58,0.0,0.67,0.38,0.47,0.84,0.6,0.54,0.38
qse.csv,0.78,0.59,0.73,0.0,0.47,0.52,0.47,0.63,0.78,0.59,0.0
rebecca-aiml.csv,0.7,0.6,0.74,0.43,0.47,0.33,0.51,0.96,0.6,0.64,0.41
roller.csv,0.4,0.47,0.5,0.46,0.41,0.45,0.38,0.48,0.42,0.53,0.38
xapian.csv,0.51,0.39,0.55,0.55,0.47,0.35,0.4,0.49,0.4,0.58,0.42
zoolib.csv,0.69,0.55,0.9,0.0,0.83,0.46,0.61,0.97,0.78,0.92,0.41
