,elmo.csv,vapor.csv,nicepress.csv,etherboot.csv,gpac.csv,gebr.csv,libtorrent.csv,modellus.csv,ffigo.csv,mplayer-ce.csv,miranda.csv
elmo.csv,0.54,0.55,0.93,0.82,0.94,0.94,0.71,0.7,0.7,0.83,0.61
etherboot.csv,0.5,0.0,0.44,0.58,0.0,0.47,0.75,0.47,0.0,0.0,0.0
ffigo.csv,0.0,0.82,0.9,0.51,0.67,0.8,0.62,0.63,0.41,0.85,0.92
gebr.csv,0.39,0.39,0.42,0.43,0.38,0.46,0.33,0.38,0.39,0.37,0.34
gpac.csv,0.52,0.42,0.45,0.44,0.46,0.55,0.39,0.36,0.38,0.95,0.4
libtorrent.csv,0.5,0.42,0.48,0.43,0.34,0.49,0.38,0.38,0.4,0.39,0.38
miranda.csv,0.5,0.0,0.53,0.5,0.92,0.0,0.38,0.94,0.38,0.97,0.38
modellus.csv,0.5,0.76,0.57,0.48,0.57,0.58,0.54,0.42,0.51,0.37,0.36
mplayer-ce.csv,0.45,0.4,0.46,0.42,0.38,0.48,0.38,0.41,0.38,0.53,0.44
nicepress.csv,0.52,0.48,0.54,0.45,0.33,0.46,0.43,0.51,0.4,0.37,0.34
vapor.csv,0.0,0.53,0.89,0.55,0.54,0.53,0.62,0.84,0.86,0.4,0.36
