,f1,g,recall,precision,pf,wins
array4j.csv,0.4,0.46,0.55,0.31,0.62,7
emono.csv,0.35,0.47,0.74,0.23,0.81,3
freedom-erp.csv,0.17,0.35,0.3,0.28,0.13,2
haggle.csv,0.23,0.3,0.26,0.4,0.12,5
jbpm.csv,0.06,0.04,0.03,0.17,0.02,0
jgossipforum.csv,0.37,0.34,0.3,0.38,0.2,10
joustsim.csv,0.36,0.48,0.69,0.3,0.49,12
log4net.csv,0.29,0.35,0.31,0.32,0.19,6
madman.csv,0.33,0.32,0.28,0.4,0.27,4
mediate.csv,0.32,0.45,0.47,0.26,0.4,8
pustefix.csv,0.22,0.29,0.25,0.33,0.21,1
synecdoche.csv,0.29,0.49,0.6,0.26,0.52,9
tmva.csv,0.4,0.52,0.71,0.26,0.63,11
