,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,0.35,0.62,0.59,0.92,0.66,1.0,0.1,0.7,0.65,0.73,0.16,0.16,0.31
emono.csv,0.81,0.89,0.57,0.94,0.63,0.83,0.68,0.94,0.93,0.92,0.41,0.79,0.45
freedom-erp.csv,0.14,0.14,0.13,0.13,0.02,0.0,0.02,0.33,0.03,0.12,0.82,0.14,0.88
haggle.csv,0.41,0.19,0.27,0.23,0.39,0.17,0.08,0.04,0.05,0.12,0.1,0.05,0.07
jbpm.csv,0.16,0.15,0.03,0.03,0.0,0.0,0.0,0.09,0.0,0.17,0.02,0.02,0.0
jgossipforum.csv,0.49,0.21,0.2,0.45,0.2,0.2,0.12,0.01,0.08,0.0,0.22,0.53,0.19
joustsim.csv,0.51,0.37,0.39,0.84,0.49,0.07,0.8,0.47,0.31,0.08,0.57,0.88,0.64
log4net.csv,0.49,0.19,0.11,0.15,0.2,0.5,0.17,0.27,0.0,0.28,0.33,0.02,0.17
madman.csv,0.79,0.39,0.51,0.13,0.17,0.27,0.23,0.04,0.27,0.33,0.2,0.28,0.33
mediate.csv,0.92,0.67,0.53,0.4,0.2,0.4,0.1,0.29,0.5,0.57,0.14,0.28,0.14
pustefix.csv,0.14,0.13,0.3,0.24,0.32,0.13,0.37,0.1,0.15,0.05,0.49,0.23,0.21
synecdoche.csv,0.3,0.53,0.44,0.52,0.17,0.53,0.22,0.81,0.44,0.75,0.9,0.23,0.98
tmva.csv,0.63,0.84,0.61,0.69,0.37,0.57,0.38,1.0,0.67,0.88,0.69,0.33,0.5
