,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,ardour.csv,netatalk.csv,pixel-commandos.csv,xmoto.csv
ardour.csv,0.68,0.58,0.71,0.84,0.46,0.34,0.38,0.65,0.33,0.76,0.45,0.0,0.59,0.42,0.68,0.4,0.66,0.25,0.74,0.67
cornerstone.csv,0.61,0.4,0.67,0.47,0.3,0.4,0.37,0.54,0.1,0.11,0.67,0.62,0.42,0.35,0.22,0.61,0.61,0.33,0.75,0.29
emeraldemu.csv,0.8,0.49,0.68,0.74,0.17,0.13,0.38,0.64,0.19,0.52,0.53,0.09,0.26,0.0,0.49,0.0,0.47,0.09,0.55,0.38
grafx2.csv,0.78,0.67,0.73,0.8,0.3,0.51,0.6,0.71,0.48,0.64,0.59,0.68,0.65,0.68,0.62,0.71,0.6,0.61,0.76,0.63
jahshakafx.csv,0.77,0.38,0.75,0.33,0.24,0.13,0.38,0.7,0.38,0.52,0.59,0.09,0.28,0.23,0.56,0.46,0.41,0.69,0.54,0.47
kindb.csv,0.83,0.72,0.55,0.68,0.55,0.54,0.49,0.76,0.61,0.72,0.32,0.67,0.69,0.74,0.77,0.86,0.71,0.55,0.87,0.73
maya-work-in-progress.csv,0.67,0.67,0.68,0.67,0.7,0.54,0.64,0.72,0.62,0.84,0.38,0.75,0.65,0.77,0.7,0.52,0.66,0.71,0.63,0.62
netatalk.csv,0.56,0.65,0.7,0.09,0.32,0.37,0.68,0.62,0.55,0.63,0.46,0.3,0.39,0.54,0.65,0.69,0.64,0.48,0.73,0.56
novembre.csv,0.57,0.49,0.35,0.38,0.07,0.16,0.52,0.43,0.38,0.36,0.46,0.13,0.19,0.38,0.29,0.5,0.43,0.55,0.55,0.41
ns-3.csv,0.64,0.67,0.46,0.1,0.32,0.57,0.09,0.42,0.34,0.6,0.59,0.0,0.32,0.0,0.42,0.0,0.24,0.0,0.16,0.21
nullc.csv,0.2,0.0,0.0,0.0,0.64,0.61,0.52,0.65,0.58,0.52,0.41,0.7,0.64,0.73,0.69,0.78,0.46,0.55,0.74,0.62
open-beos.csv,0.71,0.71,0.62,0.43,0.48,0.47,0.52,0.7,0.57,0.29,0.45,0.57,0.59,0.21,0.61,0.69,0.72,0.3,0.73,0.61
pixel-commandos.csv,0.0,0.18,0.04,0.1,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.06,0.06,0.0,0.04,0.09,0.29,0.0
planeshift.csv,0.66,0.43,0.09,0.05,0.32,0.27,0.54,0.44,0.42,0.71,0.24,0.44,0.59,0.76,0.57,0.4,0.13,0.43,0.51,0.27
plee-the-bear.csv,0.09,0.0,0.0,0.0,0.05,0.1,0.16,0.18,0.13,0.04,0.21,0.23,0.28,0.02,0.05,0.11,0.02,0.09,0.29,0.26
reaper-ecad.csv,0.04,0.12,0.04,0.51,0.0,0.01,0.09,0.1,0.05,0.04,0.15,0.0,0.12,0.0,0.0,0.0,0.07,0.09,0.29,0.04
sbml.csv,0.5,0.74,0.67,0.72,0.55,0.58,0.35,0.63,0.7,0.64,0.53,0.56,0.58,0.74,0.79,0.75,0.72,0.64,0.75,0.67
unimrcp.csv,0.71,0.2,0.15,0.57,0.43,0.27,0.36,0.4,0.36,0.46,0.33,0.67,0.28,0.0,0.17,0.28,0.48,0.0,0.29,0.44
unladen-swallow.csv,0.22,0.11,0.0,0.0,0.05,0.01,0.0,0.09,0.02,0.0,0.05,0.0,0.05,0.15,0.09,0.11,0.01,0.0,0.0,0.07
xmoto.csv,0.6,0.57,0.56,0.1,0.51,0.55,0.58,0.66,0.53,0.56,0.49,0.51,0.47,0.4,0.65,0.69,0.66,0.7,0.72,0.61
