,jlinalg.csv,arianne.csv,playerstage.csv,knowledge.csv,massiv.csv,ultimairis.csv
arianne.csv,0.61,1.0,0.4,0.56,0.0,0.23
jlinalg.csv,0.99,0.65,0.59,0.88,0.02,0.36
knowledge.csv,0.78,0.56,0.58,1.0,0.02,0.47
massiv.csv,0.0,0.0,0.0,0.0,1.0,0.0
playerstage.csv,0.35,0.34,0.96,0.56,0.04,0.31
ultimairis.csv,0.83,0.66,0.47,0.8,0.02,0.99
