,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.72,1.0,0.5,0.33,0.73
n2cms.csv,1.0,0.25,0.23,0.21,0.65
nassp.csv,0.43,0.55,0.56,0.92,0.83
nug.csv,0.41,0.14,1.0,0.22,0.65
oorexx.csv,0.33,0.29,0.21,0.31,0.97
