,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.66,0.67,0.63,0.5,0.52,0.26,0.65,0.67,0.0,0.38,0.3,0.36
gamestone.csv,0.09,0.0,0.1,0.07,0.18,0.0,0.3,0.16,0.23,0.21,0.0,0.41
gbif-providertoolkit.csv,0.0,0.02,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.12,0.0,0.06
heekscad.csv,0.0,0.33,0.32,0.61,0.52,0.43,0.48,0.56,0.46,0.37,0.2,0.3
igarden.csv,0.0,0.17,0.08,0.01,0.03,0.04,0.22,0.11,0.08,0.48,0.1,0.36
levent.csv,0.04,0.08,0.1,0.18,0.25,0.0,0.15,0.11,0.12,0.4,0.1,0.14
libmesh.csv,0.21,0.33,0.07,0.28,0.58,0.0,0.02,0.16,0.12,0.6,0.4,0.51
openmsx.csv,0.32,0.48,0.27,0.64,0.37,0.13,0.37,0.0,0.23,0.52,0.5,0.58
pnotepad.csv,0.77,0.63,0.79,0.93,0.79,0.74,0.65,0.82,0.73,0.9,0.0,0.74
quark.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.32
tango-cs.csv,0.36,0.35,0.28,0.22,0.39,0.13,0.22,0.46,0.62,0.67,0.4,0.0
xcsoar.csv,0.17,0.27,0.01,0.28,0.37,0.17,0.33,0.31,0.19,0.92,0.0,0.55
