,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.84,0.75,0.89,0.71,0.71,0.57,0.5,0.66,1.0,0.77,0.52,0.44
gamestone.csv,0.16,1.0,0.3,0.06,0.07,0.08,0.04,0.12,0.2,0.31,0.21,0.51
gbif-providertoolkit.csv,0.0,0.0,0.02,0.06,0.93,0.02,0.08,0.05,0.01,0.08,0.02,0.13
heekscad.csv,0.96,0.12,0.8,0.65,0.71,0.51,0.31,0.55,0.61,0.46,0.54,0.4
igarden.csv,0.17,0.25,0.29,0.97,0.21,0.18,0.31,0.12,0.22,0.38,0.19,0.4
levent.csv,0.1,0.25,0.16,0.16,0.79,1.0,0.15,0.14,0.14,0.38,0.21,0.24
libmesh.csv,0.19,0.12,0.05,0.29,0.29,0.0,0.88,0.11,0.15,0.62,0.06,0.62
openmsx.csv,0.51,0.38,0.3,0.48,0.71,0.12,0.38,0.89,0.29,0.54,0.42,0.62
pnotepad.csv,0.95,0.75,0.96,1.0,0.86,0.9,0.58,0.75,0.84,1.0,0.98,0.89
quark.csv,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.36
tango-cs.csv,0.62,0.25,0.36,0.35,0.5,0.22,0.12,0.35,0.71,0.85,0.6,1.0
xcsoar.csv,0.58,0.38,1.0,0.48,0.64,0.41,0.19,0.34,0.48,1.0,0.27,0.73
