,rhex.csv,kmatplot.csv,jcae.csv,applet2app.csv,mscore.csv,riff-evolve.csv,archive-crawler.csv,autowikibrowser.csv,quickfast.csv
applet2app.csv,0.93,0.33,0.23,0.01,0.96,0.14,0.76,0.85,0.56
archive-crawler.csv,0.23,0.17,0.11,0.26,0.49,0.32,0.0,0.13,0.44
autowikibrowser.csv,0.42,0.54,0.41,0.34,0.32,0.27,0.4,0.0,0.41
jcae.csv,0.04,0.1,0.0,0.05,0.01,0.01,0.09,0.02,0.0
kmatplot.csv,0.36,0.0,0.13,0.23,0.26,0.24,0.11,0.06,0.16
mscore.csv,0.36,0.61,0.81,0.69,0.0,0.75,0.55,0.37,0.59
quickfast.csv,0.64,0.76,0.85,0.54,0.73,0.42,0.93,0.69,0.0
rhex.csv,0.0,0.15,0.09,0.13,0.11,0.08,0.16,0.39,0.03
riff-evolve.csv,0.37,0.36,0.56,0.39,0.27,0.01,0.53,0.37,0.28
