,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.63,0.32,0.58,1.0,0.96,0.92,0.71,0.63,0.94,0.4
aubit4gl.csv,0.92,0.37,0.68,0.86,0.45,0.9,0.64,0.95,0.66,0.8
liferea.csv,0.61,0.94,0.6,0.44,0.85,0.52,0.81,0.58,0.85,0.87
moving-pictures.csv,0.56,0.6,0.52,0.86,0.61,0.72,0.5,0.9,0.76,0.64
opensim4opencog.csv,0.53,0.92,0.56,0.48,0.7,0.44,0.6,0.59,0.53,0.58
plearn.csv,0.47,0.9,0.64,0.56,0.94,0.71,0.8,0.63,0.75,0.77
psrchive.csv,0.49,0.51,0.27,0.83,0.78,0.72,0.63,0.89,0.43,0.7
re2c.csv,0.7,0.02,0.66,0.75,0.76,0.86,0.66,0.74,0.54,0.88
rebecca-aiml.csv,0.61,0.59,0.69,0.7,0.69,0.67,0.78,0.58,0.23,0.51
xfce.csv,0.53,0.98,0.75,0.55,0.78,0.84,0.72,0.51,0.68,0.78
