,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.15,0.27,0.09,0.0,0.0,0.09,0.19,0.21,0.7,0.15
aubit4gl.csv,0.02,0.16,0.21,0.16,0.33,0.35,0.19,0.13,0.63,0.06
liferea.csv,0.57,0.43,0.48,0.32,0.48,0.21,0.19,0.39,0.15,0.27
moving-pictures.csv,0.32,0.33,0.44,0.16,0.4,0.17,0.26,0.03,0.01,0.22
opensim4opencog.csv,0.32,0.63,0.43,0.3,0.67,0.27,0.32,0.21,0.13,0.35
plearn.csv,0.3,0.61,0.4,0.16,0.19,0.36,0.52,0.14,0.53,0.43
psrchive.csv,0.34,0.12,0.23,0.77,0.77,0.53,0.39,0.86,0.37,0.23
re2c.csv,0.23,0.02,0.51,0.3,0.23,0.56,0.58,0.25,0.48,0.48
rebecca-aiml.csv,0.28,0.49,0.65,0.68,0.67,0.58,0.77,0.29,0.15,0.35
xfce.csv,0.37,0.84,0.69,0.3,0.71,0.82,0.68,0.39,0.67,0.77
