,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,rcp-company-uibindings.csv,thedata.csv
adonthell.csv,0.24,0.28,0.44,0.17,1.0,0.14,0.37,0.28,0.32,0.13,0.17,0.16,0.31,0.07,0.09,0.29,0.17,0.24,0.08
autofac.csv,0.64,0.58,0.67,0.98,0.55,0.51,0.57,0.44,0.57,0.27,0.13,0.49,0.7,0.1,0.23,0.7,0.46,0.71,0.07
avisynth2.csv,0.02,0.07,0.04,0.0,0.0,0.0,0.11,0.0,0.24,0.0,0.0,0.15,0.03,1.0,0.0,0.0,0.04,0.04,0.0
azureus.csv,0.26,0.54,0.59,0.53,0.21,0.14,0.27,0.39,0.19,0.3,0.32,0.99,0.32,0.0,0.18,0.38,0.32,0.63,0.07
dsworkbench.csv,0.83,0.48,1.0,0.49,0.61,0.63,0.5,0.38,0.52,0.17,0.19,0.41,0.74,0.08,0.16,0.49,0.42,0.79,0.14
forester-atv.csv,0.2,1.0,0.23,0.19,0.17,0.11,0.2,0.26,0.37,0.12,0.0,0.26,0.12,0.0,0.0,0.19,0.15,0.22,0.4
freelords.csv,0.84,0.41,0.83,0.57,0.63,0.98,0.44,0.45,0.57,0.16,0.27,0.39,0.82,0.15,0.24,0.43,0.43,0.8,0.06
gabel.csv,0.0,0.0,0.15,0.0,0.0,0.02,0.11,0.05,0.0,1.0,0.0,0.13,0.12,0.0,0.44,0.07,0.09,0.09,0.0
geotools.csv,0.31,0.51,0.38,0.44,0.3,0.28,0.23,0.41,0.2,0.19,0.12,0.33,0.37,0.0,0.0,0.26,0.98,0.38,0.12
google-collections.csv,1.0,0.57,0.86,0.62,0.71,0.85,0.45,0.51,0.52,0.15,0.3,0.43,0.83,0.09,0.19,0.54,0.44,0.94,0.11
jpaul.csv,0.33,0.35,0.71,0.52,0.47,0.33,0.97,0.33,0.25,0.26,0.0,0.5,0.62,0.0,0.25,0.59,0.36,0.38,0.03
mycila.csv,0.05,0.43,0.35,0.24,0.15,0.05,0.0,0.13,0.09,0.12,0.95,0.23,0.28,0.0,0.0,0.13,0.11,0.1,0.0
neodatis-odb.csv,0.28,0.55,0.64,0.56,0.39,0.36,0.27,0.93,0.32,0.19,0.0,0.38,0.42,0.0,0.31,0.29,0.38,0.47,0.12
octet.csv,0.45,0.52,0.53,0.51,0.46,0.33,0.15,0.29,0.17,0.19,0.11,0.44,0.62,0.0,1.0,0.64,0.37,0.53,0.0
pokenetonline.csv,0.79,0.41,0.71,0.58,0.37,0.55,0.44,0.38,0.55,0.26,0.3,0.4,0.98,0.12,0.18,0.61,0.51,0.71,0.19
rcp-company-uibindings.csv,0.85,0.54,0.85,0.61,0.7,0.83,0.48,0.52,0.55,0.16,0.3,0.42,0.83,0.09,0.19,0.54,0.43,1.0,0.11
scenemonitor.csv,0.79,0.6,0.74,0.65,0.53,0.65,0.58,0.41,0.97,0.22,0.18,0.49,0.65,0.18,0.24,0.63,0.35,0.71,0.0
thedata.csv,0.26,0.12,0.08,0.22,0.06,0.13,0.0,0.25,0.29,0.0,0.4,0.03,0.12,0.0,0.1,0.18,0.16,0.51,1.0
twostep.csv,0.41,0.57,0.49,0.6,0.45,0.52,0.47,0.52,0.15,0.17,0.27,0.37,0.48,0.11,0.48,0.92,0.4,0.7,0.09
