,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,1.0,42.0,1.0,0.0,1.0,1.0,0.0,19.0,67.0,8.0,1.0,1.0,2.0,0.0,0.0,4.0
autat.csv,0.0,53.0,6.0,0.0,2.0,1.0,0.0,0.0,24.0,106.0,7.0,2.0,0.0,53.0,4.0,0.0
biopax.csv,0.0,45.0,11.0,0.0,0.0,2.0,1.0,22.0,174.0,16.0,0.0,1.0,0.0,0.0,10.0,3.0
exl.csv,0.0,48.0,0.0,0.0,1.0,4.0,0.0,1.0,22.0,12.0,13.0,0.0,1.0,0.0,6.0,0.0
fceugc.csv,0.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,205.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0
fido.csv,87.0,584.0,256.0,83.0,0.0,63.0,60.0,83.0,502.0,0.0,158.0,257.0,90.0,53.0,78.0,52.0
gretl.csv,0.0,51.0,5.0,0.0,0.0,9.0,0.0,4.0,155.0,9.0,0.0,0.0,0.0,0.0,11.0,5.0
jasperreports.csv,0.0,584.0,256.0,83.0,173.0,63.0,60.0,83.0,0.0,106.0,0.0,257.0,0.0,0.0,78.0,52.0
jmule.csv,0.0,102.0,0.0,0.0,0.0,3.0,1.0,1.0,71.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
moast.csv,0.0,42.0,11.0,0.0,0.0,6.0,0.0,15.0,281.0,20.0,2.0,0.0,1.0,0.0,13.0,7.0
ng4j.csv,0.0,21.0,6.0,1.0,0.0,5.0,4.0,0.0,17.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
olap-navigator.csv,0.0,1.0,8.0,1.0,0.0,2.0,0.0,5.0,31.0,10.0,1.0,0.0,0.0,0.0,11.0,0.0
passwordsafe.csv,0.0,5.0,6.0,0.0,1.0,1.0,0.0,10.0,168.0,9.0,0.0,2.0,2.0,0.0,1.0,1.0
phonon-vlc-mplayer.csv,0.0,31.0,0.0,3.0,0.0,2.0,3.0,6.0,162.0,16.0,0.0,2.0,2.0,2.0,1.0,2.0
sepgsql.csv,1.0,0.0,1.0,1.0,1.0,63.0,60.0,5.0,502.0,0.0,0.0,257.0,0.0,0.0,78.0,52.0
unflobtactical.csv,1.0,6.0,18.0,0.0,0.0,0.0,0.0,7.0,114.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0
