,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.4,0.3,0.44,1.0,0.37,0.42,0.49,0.35,0.58,0.75,0.51,0.85,0.31,0.47,0.48,0.5
autat.csv,0.29,0.13,0.32,0.54,0.34,0.06,0.24,0.9,0.15,0.0,0.23,0.01,0.2,0.0,0.18,0.38
biopax.csv,0.57,0.44,0.82,0.66,0.69,0.59,0.64,0.45,0.27,0.33,0.68,0.72,0.99,0.67,0.7,0.69
exl.csv,0.61,0.55,0.64,0.57,0.62,0.7,0.58,0.61,0.85,0.75,0.63,0.6,0.62,0.98,0.7,0.67
fceugc.csv,0.36,0.34,0.51,0.27,0.46,0.92,0.33,0.22,0.18,0.54,0.29,0.06,0.42,0.49,0.44,0.1
fido.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gretl.csv,0.62,0.52,0.62,0.64,0.98,0.51,0.52,0.48,0.83,0.84,0.59,0.7,0.67,0.55,0.7,0.47
jasperreports.csv,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.06,0.0,0.01,0.02,0.0,0.0
jmule.csv,0.52,0.33,0.55,0.53,0.42,0.61,0.58,0.47,0.9,0.53,0.47,0.2,0.44,0.72,0.5,0.97
moast.csv,0.45,0.58,0.52,0.57,0.67,0.53,0.29,0.41,0.64,0.13,0.59,1.0,0.61,0.0,0.3,0.44
ng4j.csv,0.75,0.52,0.61,0.17,0.63,0.45,0.6,0.47,0.82,0.88,0.49,0.2,0.54,0.78,0.96,0.51
olap-navigator.csv,1.0,0.61,0.75,0.53,0.48,0.54,0.63,0.56,0.84,0.76,0.52,0.57,0.72,0.79,0.66,0.38
passwordsafe.csv,0.61,0.69,0.62,0.57,0.63,0.53,0.62,0.55,0.51,0.53,0.97,0.51,0.47,0.7,0.63,0.62
phonon-vlc-mplayer.csv,0.67,0.34,1.0,0.31,0.35,0.28,0.66,0.4,0.55,0.26,0.49,0.33,0.67,0.64,0.47,0.15
sepgsql.csv,0.02,0.97,0.19,0.02,0.01,0.0,0.0,0.07,0.0,0.29,0.06,0.0,0.04,0.02,0.0,0.0
unflobtactical.csv,0.51,0.37,0.48,0.67,0.42,0.55,1.0,0.55,0.63,0.29,0.56,0.61,0.28,0.71,0.67,0.46
