,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.71,0.85,0.98,0.57,0.67,0.63,0.57,0.63,0.67,0.77,0.78,0.45,0.71,0.68,0.79,0.63
autat.csv,0.95,0.99,0.98,0.87,0.98,0.5,0.9,0.93,0.97,0.83,0.96,0.8,0.93,0.0,0.94,0.69
biopax.csv,0.47,0.45,0.62,0.49,0.4,0.42,0.38,0.41,0.48,0.32,0.47,0.4,0.49,0.44,0.57,0.4
exl.csv,0.44,0.39,0.5,0.58,0.39,0.35,0.38,0.39,0.47,0.39,0.44,0.39,0.54,0.42,0.61,0.48
fceugc.csv,0.67,0.94,0.98,0.67,0.57,0.63,0.79,0.92,0.74,0.94,0.87,0.96,0.75,0.37,0.56,0.5
fido.csv,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
gretl.csv,0.37,0.38,0.59,0.44,0.44,0.38,0.38,0.36,0.52,0.48,0.54,0.54,0.51,0.44,0.48,0.34
jasperreports.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.75,0.0,0.0,0.0,0.0,0.0
jmule.csv,0.47,0.7,0.56,0.33,0.43,0.47,0.48,0.47,0.46,0.59,0.53,0.75,0.62,0.34,0.63,0.52
moast.csv,0.36,0.37,0.43,0.34,0.33,0.33,0.35,0.34,0.44,0.31,0.4,0.43,0.37,0.46,0.37,0.33
ng4j.csv,0.59,0.52,0.84,0.88,0.48,0.56,0.45,0.5,0.56,0.49,0.57,0.69,0.62,0.44,0.79,0.71
olap-navigator.csv,0.52,0.65,0.67,0.59,0.42,0.59,0.38,0.47,0.52,0.4,0.57,0.38,0.61,0.42,0.6,0.9
passwordsafe.csv,0.5,0.44,0.62,0.42,0.46,0.46,0.39,0.44,0.71,0.71,0.62,0.62,0.53,0.47,0.49,0.42
phonon-vlc-mplayer.csv,0.62,0.99,0.9,0.7,0.82,0.9,0.41,0.62,0.66,0.46,0.74,0.49,0.61,0.39,0.78,0.8
sepgsql.csv,0.5,0.96,0.92,0.5,0.5,0.8,0.0,0.83,0.5,0.5,0.75,0.0,0.67,0.0,0.0,0.0
unflobtactical.csv,0.5,0.78,0.57,0.48,0.52,0.56,0.49,0.45,0.68,0.67,0.57,0.49,0.7,0.42,0.74,0.69
