,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.49,0.07,0.44,1.0,0.48,0.4,0.52,0.22,0.13,0.18,0.52,0.94,0.4,0.57,0.38,0.51
autat.csv,0.37,0.03,0.32,0.56,0.45,0.09,0.31,0.93,0.1,0.0,0.27,0.02,0.28,0.0,0.16,0.43
biopax.csv,0.82,0.09,0.6,0.67,0.79,0.47,0.7,0.25,0.11,0.08,0.56,0.96,0.99,0.88,0.48,0.64
exl.csv,0.7,0.09,0.46,0.59,0.74,0.57,0.61,0.33,0.2,0.11,0.52,0.94,0.72,0.99,0.55,0.65
fceugc.csv,0.46,0.09,0.56,0.31,0.56,0.95,0.41,0.21,0.03,0.19,0.32,0.09,0.53,0.6,0.34,0.15
fido.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
gretl.csv,0.71,0.08,0.48,0.65,0.99,0.4,0.73,0.34,0.19,0.14,0.53,0.82,0.76,0.81,0.47,0.59
jasperreports.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.1,0.0,0.03,0.05,0.0,0.0
jmule.csv,0.61,0.06,0.46,0.57,0.53,0.49,0.66,0.29,0.28,0.11,0.43,0.27,0.56,0.8,0.46,0.98
moast.csv,0.63,0.1,0.36,0.6,0.8,0.49,0.69,0.31,0.13,0.07,0.54,1.0,0.82,0.86,0.41,0.64
ng4j.csv,0.8,0.08,0.55,0.23,0.75,0.38,0.64,0.3,0.25,0.16,0.45,0.27,0.65,0.85,0.97,0.58
olap-navigator.csv,1.0,0.16,0.61,0.59,0.59,0.46,0.69,0.33,0.2,0.11,0.5,0.95,0.8,0.86,0.45,0.47
passwordsafe.csv,0.68,0.13,0.52,0.58,0.79,0.45,0.65,0.29,0.11,0.1,0.98,0.72,0.73,0.81,0.42,0.6
phonon-vlc-mplayer.csv,0.74,0.08,0.99,0.37,0.45,0.32,0.71,0.21,0.1,0.03,0.52,0.81,0.78,0.72,0.35,0.21
sepgsql.csv,0.03,0.98,0.27,0.04,0.01,0.0,0.0,0.09,0.0,0.33,0.1,0.0,0.05,0.05,0.0,0.0
unflobtactical.csv,0.6,0.11,0.33,0.67,0.53,0.44,1.0,0.31,0.15,0.06,0.49,0.73,0.36,0.78,0.55,0.5
