,net-snmp.csv,fontforge.csv,k3d.csv,patterntesting.csv,massiv.csv,t-2.csv,xreal.csv
fontforge.csv,0.86,0.0,0.78,0.87,0.4,0.82,0.3
k3d.csv,0.95,0.92,0.07,1.0,0.75,0.98,1.0
massiv.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0
net-snmp.csv,0.07,0.85,0.67,0.64,0.65,0.83,0.75
patterntesting.csv,0.52,0.75,0.68,0.07,0.51,0.79,0.8
t-2.csv,0.93,0.83,0.85,0.88,0.54,0.07,0.55
xreal.csv,1.0,1.0,0.97,1.0,1.0,1.0,0.0
