,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.6,0.35,0.63,0.64,0.53,0.73,0.47,0.45,0.24,0.65,0.59,0.44,0.44,0.62,0.24
bibletime.csv,0.7,0.5,0.09,0.44,0.52,0.74,0.46,0.45,0.56,0.47,0.7,0.47,0.58,0.64,0.44
boost.csv,0.68,0.53,0.6,0.47,0.68,0.72,0.59,0.4,0.4,0.43,0.67,0.56,0.48,0.48,0.42
doomlegacy.csv,0.69,0.36,0.21,0.13,0.35,0.72,0.41,0.45,0.7,0.38,0.57,0.59,0.68,0.49,0.17
gpac.csv,0.2,0.42,0.68,0.43,0.6,0.58,0.0,0.46,0.21,0.78,0.48,0.5,0.33,0.0,0.24
kftpgrabber.csv,0.25,0.1,0.17,0.19,0.3,0.86,0.25,0.2,0.18,0.38,0.67,0.29,0.38,0.0,0.09
nativeclient.csv,0.7,0.72,0.61,0.54,0.57,0.69,0.68,0.33,0.59,0.59,0.67,0.65,0.69,0.7,0.7
netatalk.csv,0.65,0.61,0.53,0.59,0.44,0.55,0.65,0.55,0.63,0.54,0.65,0.56,0.59,0.58,0.57
open-ms.csv,0.62,0.27,0.13,0.28,0.33,0.6,0.41,0.2,0.67,0.65,0.33,0.47,0.57,0.52,0.25
openmsx.csv,0.12,0.47,0.0,0.21,0.04,0.37,0.51,0.68,0.56,0.58,0.49,0.0,0.21,0.38,0.28
rosegarden.csv,0.72,0.65,0.52,0.59,0.59,0.68,0.71,0.41,0.61,0.43,0.64,0.62,0.63,0.66,0.65
rsyslog.csv,0.61,0.71,0.27,0.16,0.48,0.54,0.63,0.29,0.59,0.49,0.6,0.59,0.56,0.48,0.63
sandiaportals.csv,0.67,0.62,0.58,0.6,0.54,0.62,0.67,0.49,0.32,0.68,0.71,0.58,0.65,0.77,0.53
xmoto.csv,0.64,0.64,0.4,0.1,0.51,0.62,0.37,0.36,0.29,0.67,0.65,0.54,0.75,0.0,0.31
xqilla.csv,0.5,0.05,0.29,0.3,0.07,0.34,0.4,0.06,0.48,0.99,0.25,0.34,0.26,0.24,0.2
