,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.46,0.41,0.66,0.59,0.47,0.58,0.4,0.39,0.32,0.07,0.69,0.34,0.48,0.71,0.32
bibletime.csv,0.53,0.7,0.7,0.51,0.48,0.59,0.41,0.42,0.73,0.06,0.79,0.35,0.54,0.78,0.74
boost.csv,0.53,0.57,0.66,0.39,0.61,0.57,0.46,0.44,0.5,0.06,0.78,0.35,0.52,0.59,0.5
doomlegacy.csv,0.5,0.47,0.29,0.17,0.41,0.58,0.45,0.44,0.8,0.05,0.67,0.35,0.65,0.61,0.23
gpac.csv,0.24,0.47,0.69,0.33,0.53,0.5,0.0,0.44,0.28,0.08,0.6,0.37,0.63,0.85,0.3
kftpgrabber.csv,0.32,0.14,0.23,0.27,0.35,0.74,0.33,0.27,0.26,0.1,0.78,0.29,0.47,0.0,0.14
nativeclient.csv,0.55,0.71,0.63,0.46,0.52,0.63,0.5,0.37,0.69,0.05,0.78,0.38,0.64,0.77,0.73
netatalk.csv,0.47,0.65,0.57,0.49,0.44,0.42,0.53,0.49,0.79,0.06,0.8,0.34,0.55,0.78,0.61
open-ms.csv,0.54,0.38,0.17,0.32,0.36,0.53,0.42,0.23,0.81,0.08,0.44,0.31,0.54,0.62,0.33
openmsx.csv,0.16,0.57,0.0,0.17,0.05,0.48,0.37,0.63,0.66,0.05,0.78,0.0,0.59,0.86,0.35
rosegarden.csv,0.63,0.7,0.55,0.51,0.53,0.56,0.5,0.41,0.83,0.06,0.73,0.37,0.62,0.74,0.69
rsyslog.csv,0.53,0.73,0.32,0.2,0.43,0.5,0.46,0.31,0.69,0.06,0.71,0.37,0.53,0.58,0.67
sandiaportals.csv,0.49,0.63,0.67,0.48,0.51,0.51,0.47,0.47,0.42,0.11,0.83,0.36,0.62,0.84,0.61
xmoto.csv,0.47,0.65,0.46,0.14,0.55,0.55,0.43,0.4,0.39,0.09,0.76,0.36,0.72,0.82,0.4
xqilla.csv,0.37,0.07,0.35,0.35,0.11,0.32,0.36,0.07,0.58,0.5,0.34,0.22,0.29,0.31,0.25
