,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.59,0.8,0.54,0.68,0.63,0.69,0.11,0.51,0.76,0.85
gamestone.csv,0.95,0.0,0.74,0.94,0.93,0.96,0.87,0.8,0.93,0.88
gbif-providertoolkit.csv,0.75,1.0,0.91,0.94,0.21,0.78,0.74,0.61,0.71,0.88
heekscad.csv,0.03,0.4,0.55,0.58,0.54,0.73,0.67,0.57,0.67,0.64
igarden.csv,0.74,0.77,0.72,0.1,0.67,0.79,0.73,0.76,0.98,0.61
levent.csv,0.51,0.6,0.56,0.55,0.49,0.04,0.64,0.54,0.66,0.58
owlapi.csv,0.92,1.0,0.98,1.0,0.86,1.0,0.92,0.08,0.63,0.96
pnotepad.csv,0.72,0.65,0.74,0.99,0.86,0.58,0.75,0.71,0.9,0.04
quark.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.23,1.0
xcsoar.csv,0.44,0.78,0.04,0.68,0.58,0.69,0.58,0.53,0.72,0.58
