,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.58,0.17,0.57,0.37,0.31,0.47,0.93,0.36,0.31,0.25
gamestone.csv,0.1,1.0,0.38,0.11,0.1,0.08,0.21,0.25,0.11,0.22
gbif-providertoolkit.csv,0.39,0.0,0.16,0.11,0.88,0.35,0.35,0.43,0.33,0.22
heekscad.csv,0.99,0.4,0.63,0.55,0.4,0.42,0.41,0.36,0.31,0.58
igarden.csv,0.4,0.21,0.41,0.95,0.28,0.49,0.35,0.23,0.34,0.56
levent.csv,0.69,0.28,0.66,0.54,0.39,0.99,0.53,0.34,0.33,0.78
owlapi.csv,0.14,0.0,0.04,0.0,0.18,0.0,0.14,0.94,0.33,0.08
pnotepad.csv,0.81,0.29,0.64,0.47,0.29,0.76,0.52,0.33,0.36,0.98
quark.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.87,0.0
xcsoar.csv,0.73,0.19,0.97,0.38,0.33,0.47,0.53,0.39,0.39,0.59
