,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.56,0.62,0.48,0.62,0.45,0.53,0.66,0.54,0.4,0.86
gamestone.csv,0.8,0.88,0.77,0.83,0.83,0.5,0.9,0.93,0.83,0.83
gbif-providertoolkit.csv,0.96,0.67,0.83,0.75,0.91,0.62,0.88,0.68,0.91,0.83
heekscad.csv,0.43,0.45,0.35,0.35,0.57,0.62,0.59,0.48,0.63,0.54
igarden.csv,0.79,0.91,0.96,0.71,0.55,0.69,0.69,0.86,0.34,0.65
levent.csv,0.42,0.62,0.37,0.35,0.43,0.5,0.36,0.53,0.44,0.46
owlapi.csv,0.86,0.0,0.0,0.0,0.88,0.0,0.83,0.88,0.74,0.5
pnotepad.csv,0.44,0.53,0.35,0.31,0.35,0.37,0.34,0.47,0.32,0.39
quark.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.9,0.0
xcsoar.csv,0.38,0.62,0.47,0.55,0.38,0.53,0.48,0.48,0.33,0.55
