,sqlpower-library.csv,smartgwt.csv,bzbyte.csv,mediaportal.csv,poormans.csv
bzbyte.csv,0.67,0.51,0.99,0.35,0.41
mediaportal.csv,0.7,0.24,0.62,0.82,0.16
poormans.csv,0.72,0.47,0.39,0.3,0.99
smartgwt.csv,0.8,0.96,0.78,0.36,0.35
sqlpower-library.csv,0.98,0.3,0.53,0.29,0.18
